;CURSO;SEMESTRE;PERIODO;NOME_DA_DISCIPLINA;ID_DA_DISCIPLINA;DATA_DE_INICIO;DATA_DE_FINAL;ID_DO_ALUNO;VAR01;VAR02;VAR03;VAR04;VAR05;VAR06;VAR07;VAR08;VAR09;VAR10;VAR12;VAR13;VAR14;VAR16;VAR17;VAR18;VAR20;VAR21;VAR22;VAR23;VAR24;VAR25;VAR28;VAR31;VAR31B;VAR31C;VAR32A;VAR32B;VAR32C;VAR32D;VAR33;VAR34;VAR35;PROVA01;PROVA01_2CHAMADA;PRIMEIRA_PROVA;PROVA02;PROVA02_2CHAMADA;SEGUNDA_PROVA;MEDIA_PROVAS;FORUM01;FORUM02;FORUM03;FORUM04;MEDIA_FORUM;WEBQUEST01;WEBQUEST02;MEDIA_WEBQUEST;DESEMPENHO;DESEMPENHO_BINARIO;MEDIA_CALCULADA_PROVA;MEDIA_CALCULADA_FORUM;TEMPO_DE_CURSO
5791;Biologia;2016.1;4;Zoologia Geral;38;2015-12-31 21:00:00;2016-06-30 20:59:59;1238;7;0;6;11;30;0;0;1;0;0;0;20;3;0;4,5;26;0;0;0;0;2,0;75,07;8;52;25;34;7;16;29;0;2;4;0;5,5;0,0;5,5;3,85;0,0;3,85;4,675;5;5;5;5;2,0;6;5;2,75;9,425;0;4,675;5,0;181 days 23:59:59.000000000
5758;Biologia;2016.1;4;Zoologia Geral;38;2015-12-31 21:00:00;2016-06-30 20:59:59;1226;14;0;0;4;27;0;0;1;0;1;0;15;2;0;38,0;28;0;0;0;0;3,0;74,97;52;80;31;50;4;51;25;0;2;5;0;5,5;0,0;5,5;3,85;0,0;3,85;4,675;5;3;3;3;1,4;6;6;3,0;9,075;0;4,675;3,5;181 days 23:59:59.000000000
5817;Biologia;2016.1;4;Zoologia Geral;38;2015-12-31 21:00:00;2016-06-30 20:59:59;1315;5;0;0;3;23;0;0;2;0;0;0;16;2;0;15,0;29;0;0;0;0;2,0;73,66;63;71;16;37;15;37;19;0;2;10;0;4,4;0,0;4,4;4,4;0,0;4,4;4,4;4;5;5;5;1,9;6;5;2,75;9,05;0;4,4;4,75;181 days 23:59:59.000000000
5726;Biologia;2016.1;4;Zoologia Geral;38;2015-12-31 21:00:00;2016-06-30 20:59:59;1324;54;0;5;12;30;0;0;0;0;0;0;10;1;0;46,0;25;0;0;0;0;8,0;85,1;190;219;65;102;61;79;75;4;2;4;0;4,95;0,0;4,95;4,4;0,0;4,4;4,675;4;4;2;5;1,5;6;5;2,75;8,925;0;4,675000000000002;3,75;181 days 23:59:59.000000000
5802;Biologia;2016.1;4;Zoologia Geral;38;2015-12-31 21:00:00;2016-06-30 20:59:59;1224;8;0;0;3;25;0;0;0;1;1;0;15;2;0;28,0;17;0;0;0;0;3,0;79,56;64;97;26;58;11;46;40;0;2;4;0;3,85;0,0;3,85;5,5;0,0;5,5;4,675;3;2;2;5;1,2;6;5;2,75;8,625;0;4,675;3,0;181 days 23:59:59.000000000
5865;Biologia;2016.1;4;Zoologia Geral;38;2015-12-31 21:00:00;2016-06-30 20:59:59;1229;36;0;1;2;24;0;0;0;0;0;0;11;1;0;33,5;40;0;0;3;0;3,0;83,95;71;101;47;74;42;43;16;0;2;4;0;3,85;0,0;3,85;5,5;0,0;5,5;4,675;3;2;2;2;0,9;6;5;2,75;8,325;0;4,675;2,25;181 days 23:59:59.000000000
617;Biologia;2012.2;4;Zoologia Geral;27;2012-06-30 21:00:00;2012-12-31 20:59:59;27;6;7;1;14;40;0;0;0;0;2;0;12;0;0;5,0;18;0;2;0;0;5,0;107,71;47;132;17;61;20;43;62;7;2;3;0;4,95;0,0;4,95;4,95;0,0;4,95;4,95;5;2;4;0;1,93;0;4;1,0;7,88;0;4,95;2,75;183 days 23:59:59.000000000
5763;Biologia;2016.1;4;Zoologia Geral;38;2015-12-31 21:00:00;2016-06-30 20:59:59;1230;3;0;0;1;4;0;0;0;0;0;0;19;3;0;1,0;10;0;0;0;0;1,0;97,88;1;29;11;23;5;10;14;0;2;1;0;5,5;0,0;5,5;3,85;0,0;3,85;4,675;0;0;2;0;0,2;6;6;3,0;7,875;0;4,675;0,5;181 days 23:59:59.000000000
5842;Biologia;2016.1;4;Zoologia Geral;38;2015-12-31 21:00:00;2016-06-30 20:59:59;1243;14;0;1;4;23;0;0;0;0;1;0;15;2;0;38,5;17;0;0;0;0;2,0;80,16;7;62;19;50;14;29;17;2;2;4;0;3,85;0,0;3,85;3,3;0,0;3,3;3,575;5;3;2;5;1,5;6;5;2,75;7,825;0;3,575;3,75;181 days 23:59:59.000000000
5859;Biologia;2016.1;4;Zoologia Geral;38;2015-12-31 21:00:00;2016-06-30 20:59:59;1323;10;0;0;7;22;0;0;0;1;0;0;22;3;0;40,5;21;0;0;0;0;3,0;86,01;52;92;34;56;6;26;46;14;2;2;0;4,95;0,0;4,95;4,4;0,0;4,4;4,675;0;2;2;0;0,4;6;5;2,75;7,825;0;4,675000000000002;1,0;181 days 23:59:59.000000000
