;CURSO;SEMESTRE;PERIODO;NOME_DA_DISCIPLINA;ID_DA_DISCIPLINA;DATA_DE_INICIO;DATA_DE_FINAL;ID_DO_ALUNO;VAR01;VAR02;VAR03;VAR04;VAR05;VAR06;VAR07;VAR08;VAR09;VAR10;VAR12;VAR13;VAR14;VAR16;VAR17;VAR18;VAR20;VAR21;VAR22;VAR23;VAR24;VAR25;VAR28;VAR31;VAR31B;VAR31C;VAR32A;VAR32B;VAR32C;VAR32D;VAR33;VAR34;VAR35;PROVA01;PROVA01_2CHAMADA;PRIMEIRA_PROVA;PROVA02;PROVA02_2CHAMADA;SEGUNDA_PROVA;MEDIA_PROVAS;FORUM01;FORUM02;FORUM03;FORUM04;MEDIA_FORUM;WEBQUEST01;WEBQUEST02;MEDIA_WEBQUEST;DESEMPENHO;DESEMPENHO_BINARIO;MEDIA_CALCULADA_PROVA;MEDIA_CALCULADA_FORUM;TEMPO_DE_CURSO
13332;Pedagogia;2016.1;4;Planejamento Educacional;61;2015-12-31 21:00:00;2016-06-30 20:59:59;1709;18;1;0;12;12;0;0;0;0;0;0;13;2;0;24,0;22;0;0;1;2;5,0;87,64;99;140;54;68;47;59;31;3;2;4;0;5,5;0,0;5,5;5,5;0,0;5,5;5,5;5;5;5;5;2,0;6;6;3,0;10,5;0;5,5;5,0;181 days 23:59:59.000000000
13241;Pedagogia;2016.1;4;Planejamento Educacional;61;2015-12-31 21:00:00;2016-06-30 20:59:59;1652;18;0;0;0;2;0;0;0;0;0;0;14;2;0;33,5;36;0;0;0;2;3,0;66,25;7;93;46;54;35;31;27;0;2;4;0;5,5;0,0;5,5;5,5;0,0;5,5;5,5;4;5;5;5;1,9;6;6;3,0;10,4;0;5,5;4,75;181 days 23:59:59.000000000
13266;Pedagogia;2016.1;4;Planejamento Educacional;61;2015-12-31 21:00:00;2016-06-30 20:59:59;1731;54;0;0;0;6;0;0;0;0;0;0;18;3;0;1,0;103;0;0;100;2;7,0;87,35;139;182;76;106;19;91;72;0;2;4;0;5,5;0,0;5,5;5,5;0,0;5,5;5,5;5;5;5;5;2,0;5;6;2,75;10,25;0;5,5;5,0;181 days 23:59:59.000000000
13274;Pedagogia;2016.1;4;Planejamento Educacional;61;2015-12-31 21:00:00;2016-06-30 20:59:59;1769;6;0;0;35;31;0;0;0;0;3;0;12;2;0;32,0;143;0;0;6;2;12,0;77,83;234;326;96;116;122;145;58;1;2;4;0;4,95;0,0;4,95;5,5;0,0;5,5;5,225;5;5;5;5;2,0;5;6;2,75;9,975;0;5,225;5,0;181 days 23:59:59.000000000
13130;Pedagogia;2016.1;4;Planejamento Educacional;61;2015-12-31 21:00:00;2016-06-30 20:59:59;1931;13;0;0;36;33;0;0;0;0;1;0;8;1;0;24,5;31;0;0;0;2;7,0;68,22;104;206;49;95;41;70;93;2;2;4;0;4,95;0,0;4,95;5,5;0,0;5,5;5,225;5;5;5;5;2,0;6;5;2,75;9,975;0;5,225;5,0;181 days 23:59:59.000000000
13178;Pedagogia;2016.1;4;Planejamento Educacional;61;2015-12-31 21:00:00;2016-06-30 20:59:59;1947;5;0;2;12;7;0;0;0;0;0;0;10;1;0;1,5;15;0;0;0;2;3,0;83,95;30;81;23;48;22;35;24;0;2;4;0;5,5;0,0;5,5;4,95;0,0;4,95;5,225;5;5;5;5;2,0;6;5;2,75;9,975;0;5,225;5,0;181 days 23:59:59.000000000
13310;Pedagogia;2016.1;4;Planejamento Educacional;61;2015-12-31 21:00:00;2016-06-30 20:59:59;1660;6;0;0;0;1;0;0;3;0;0;0;15;2;0;0,0;13;0;0;0;2;2,0;75,27;19;52;6;30;14;27;11;0;2;4;0;5,5;0,0;5,5;5,5;0,0;5,5;5,5;4;5;4;4;1,7;4;5;2,25;9,45;0;5,5;4,25;181 days 23:59:59.000000000
13349;Pedagogia;2016.1;4;Planejamento Educacional;61;2015-12-31 21:00:00;2016-06-30 20:59:59;1767;11;0;0;1;4;0;0;0;0;0;0;6;1;0;24,5;48;0;0;2;2;3,0;72,87;56;100;39;53;14;29;57;0;2;3;0;4,4;0,0;4,4;5,5;0,0;5,5;4,95;5;5;5;0;1,5;4;5;2,25;8,7;0;4,95;3,75;181 days 23:59:59.000000000
13165;Pedagogia;2016.1;4;Planejamento Educacional;61;2015-12-31 21:00:00;2016-06-30 20:59:59;1856;42;0;0;0;1;0;0;0;0;0;0;18;3;0;32,5;40;0;0;0;2;4,0;79,03;98;125;43;69;20;53;52;0;2;4;0;3,85;0,0;3,85;4,4;0,0;4,4;4,125;4;5;5;5;1,9;5;5;2,5;8,525;0;4,125;4,75;181 days 23:59:59.000000000
13339;Pedagogia;2016.1;4;Planejamento Educacional;61;2015-12-31 21:00:00;2016-06-30 20:59:59;1868;23;0;8;30;17;1;1;0;0;0;0;12;2;0;25,0;25;0;0;0;2;3,0;78,99;34;92;33;58;21;14;57;0;2;6;0;3,3;0,0;3,3;4,95;0,0;4,95;4,125;4;5;5;5;1,9;4;6;2,5;8,525;0;4,125;4,75;181 days 23:59:59.000000000
13193;Pedagogia;2016.1;4;Planejamento Educacional;61;2015-12-31 21:00:00;2016-06-30 20:59:59;1944;5;0;0;2;3;0;0;1;0;0;0;19;3;0;23,5;27;0;0;1;2;4,0;83,83;76;113;34;60;16;57;40;0;2;4;0;4,95;0,0;4,95;3,3;0,0;3,3;4,125;5;5;5;5;2,0;4;5;2,25;8,375;0;4,125;5,0;181 days 23:59:59.000000000
13359;Pedagogia;2016.1;4;Planejamento Educacional;61;2015-12-31 21:00:00;2016-06-30 20:59:59;1725;7;0;0;8;7;0;0;1;0;0;0;18;3;0;1,0;28;0;0;0;2;5,0;87,2;95;140;44;77;40;25;72;3;2;5;0;3,85;0,0;3,85;3,85;0,0;3,85;3,85;5;5;5;5;2,0;5;4;2,25;8,1;0;3,85;5,0;181 days 23:59:59.000000000
