;CURSO;SEMESTRE;PERIODO;NOME_DA_DISCIPLINA;ID_DA_DISCIPLINA;DATA_DE_INICIO;DATA_DE_FINAL;ID_DO_ALUNO;VAR01;VAR02;VAR03;VAR04;VAR05;VAR06;VAR07;VAR08;VAR09;VAR10;VAR12;VAR13;VAR14;VAR16;VAR17;VAR18;VAR19;VAR20;VAR21;VAR22;VAR23;VAR24;VAR25;VAR28;VAR29;VAR30;VAR31;VAR31B;VAR31C;VAR32A;VAR32B;VAR32C;VAR32D;VAR33;VAR34;VAR35;PROVA01;PROVA01_2CHAMADA;PRIMEIRA_PROVA;PROVA02;PROVA02_2CHAMADA;SEGUNDA_PROVA;MEDIA_PROVAS;FORUM01;FORUM02;FORUM03;FORUM04;MEDIA_FORUM;WEBQUEST01;WEBQUEST02;MEDIA_WEBQUEST;DESEMPENHO;DESEMPENHO_BINARIO;MEDIA_CALCULADA_PROVA;MEDIA_CALCULADA_FORUM;TEMPO_DE_CURSO
12;Biologia;2016.1;4;Bioquimica I;33;2015-12-31 21:00:00;2016-06-30 20:59:59;1395;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0,0;0,0;0;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0;0;0,0;0;0;0,0;0,0;1;0,0;0,0;181 days 23:59:59.000000000
260;Biologia;2016.1;4;Bioquimica I;33;2015-12-31 21:00:00;2016-06-30 20:59:59;1335;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0,0;0,0;0;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0;0;0,0;0;0;0,0;0,0;1;0,0;0,0;181 days 23:59:59.000000000
361;Biologia;2016.1;4;Bioquimica I;33;2015-12-31 21:00:00;2016-06-30 20:59:59;1390;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0,0;0,0;0;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0;0;0,0;0;0;0,0;0,0;1;0,0;0,0;181 days 23:59:59.000000000
477;Biologia;2016.1;4;Bioquimica I;33;2015-12-31 21:00:00;2016-06-30 20:59:59;1383;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0,0;0,0;0;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0;0;0,0;0;0;0,0;0,0;1;0,0;0,0;181 days 23:59:59.000000000
649;Biologia;2016.1;4;Bioquimica I;33;2015-12-31 21:00:00;2016-06-30 20:59:59;1349;17;0;1;14;37;0;0;0;0;0;0;15;2;0;41,0;47;4;0;0;1;0;8,0;76,92;212;41,0;41,0;215;56;98;19;107;87;2;2;4;0;2,75;0,0;2,75;4,4;0,0;4,4;3,575;4;5;5;5;1,9;6;6;3,0;8,475;0;3,575;4,75;181 days 23:59:59.000000000
759;Biologia;2016.1;4;Bioquimica I;33;2015-12-31 21:00:00;2016-06-30 20:59:59;1327;16;0;0;1;18;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;1,0;0,0;13;0,0;0,0;43;0;30;18;14;11;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0;0;0,0;0;0;0,0;0,0;1;0,0;0,0;181 days 23:59:59.000000000
1197;Biologia;2016.1;4;Bioquimica I;33;2015-12-31 21:00:00;2016-06-30 20:59:59;1370;5;0;0;1;14;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;6,0;0,0;147;0,0;0,0;161;0;67;23;55;82;1;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0;0;0,0;0;0;0,0;0,0;1;0,0;0,0;181 days 23:59:59.000000000
1699;Biologia;2016.1;4;Bioquimica I;33;2015-12-31 21:00:00;2016-06-30 20:59:59;1247;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0,0;0,0;0;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0;0;0,0;0;0;0,0;0,0;1;0,0;0,0;181 days 23:59:59.000000000
1766;Biologia;2016.1;4;Bioquimica I;33;2015-12-31 21:00:00;2016-06-30 20:59:59;1320;14;0;0;8;24;0;0;0;0;0;0;20;3;0;34,0;24;4;0;0;1;0;4,0;80,9;28;34,0;34,0;107;35;55;34;31;41;1;2;4;0;2,75;0,0;2,75;4,95;0,0;4,95;3,85;3;3;5;5;1,6;4;5;2,25;7,7;0;3,85;4,0;181 days 23:59:59.000000000
2039;Biologia;2016.1;4;Bioquimica I;33;2015-12-31 21:00:00;2016-06-30 20:59:59;1295;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0,0;0,0;0;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0;0;0,0;0;0;0,0;0,0;1;0,0;0,0;181 days 23:59:59.000000000
