;CURSO;SEMESTRE;PERIODO;NOME_DA_DISCIPLINA;ID_DA_DISCIPLINA;DATA_DE_INICIO;DATA_DE_FINAL;ID_DO_ALUNO;VAR01;VAR02;VAR03;VAR04;VAR05;VAR06;VAR07;VAR08;VAR09;VAR10;VAR12;VAR13;VAR14;VAR16;VAR17;VAR18;VAR19;VAR20;VAR21;VAR22;VAR23;VAR24;VAR25;VAR28;VAR29;VAR30;VAR31;VAR31B;VAR31C;VAR32A;VAR32B;VAR32C;VAR32D;VAR33;VAR34;VAR35;PROVA01;PROVA01_2CHAMADA;PRIMEIRA_PROVA;PROVA02;PROVA02_2CHAMADA;SEGUNDA_PROVA;MEDIA_PROVAS;FORUM01;FORUM02;FORUM03;FORUM04;MEDIA_FORUM;WEBQUEST01;WEBQUEST02;MEDIA_WEBQUEST;DESEMPENHO;DESEMPENHO_BINARIO;MEDIA_CALCULADA_PROVA;MEDIA_CALCULADA_FORUM;TEMPO_DE_CURSO
76;Letras;2013.2;3;Linguística I;33;2013-06-30 21:00:00;2013-12-29 21:00:00;47;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0,0;0,0;0;0,0;0,0;1;0;1;0;1;0;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0;0;0,0;0;0;0,0;0,0;1;0,0;0,0;182 days 00:00:00.000000000
183;Letras;2013.2;3;Linguística I;33;2013-06-30 21:00:00;2013-12-29 21:00:00;222;35;0;2;4;61;0;0;0;2;1;0;20;3;1;0,0;22;4;0;2;0;1;3,0;76,74;57;0,0;0,0;78;27;56;28;26;21;3;0;4;0;0,55;0,0;0,55;2,2;0,0;2,2;1,375;5;5;5;5;2,0;4;4;2,0;5,375;0;1,375;5,0;182 days 00:00:00.000000000
235;Letras;2013.2;3;Linguística I;33;2013-06-30 21:00:00;2013-12-29 21:00:00;261;8;0;5;7;83;0;0;0;1;0;0;18;3;1;2,0;19;4;0;2;0;2;5,0;64,63;53;2,0;2,0;154;3;76;36;34;83;1;1;4;0;1,1;0,0;1,1;3,85;0,0;3,85;2,475;5;5;5;5;2,0;4;6;2,5;6,975;0;2,475;5,0;182 days 00:00:00.000000000
303;Letras;2013.2;3;Linguística I;33;2013-06-30 21:00:00;2013-12-29 21:00:00;310;24;0;5;7;97;0;0;0;4;1;0;19;3;1;4,0;31;5;0;2;0;3;4,0;72,77;11;4,0;4,0;115;31;84;11;19;85;0;1;5;0;2,75;0,0;2,75;3,3;0,0;3,3;3,025;3;4;4;5;1,6;5;6;2,75;7,375;0;3,025;4,0;182 days 00:00:00.000000000
379;Letras;2013.2;3;Linguística I;33;2013-06-30 21:00:00;2013-12-29 21:00:00;176;27;0;22;29;113;0;0;0;2;1;0;18;3;1;45,0;100;7;0;4;0;2;11,0;62,36;186;45,0;45,0;291;54;128;62;132;93;4;1;7;0;1,6;0,0;1,6;4,95;0,0;4,95;3,275;5;5;5;5;2,0;5;6;2,75;8,025;0;3,2750000000000004;5,0;182 days 00:00:00.000000000
829;Letras;2013.2;3;Linguística I;33;2013-06-30 21:00:00;2013-12-29 21:00:00;151;23;0;0;0;87;0;0;0;0;0;0;0;0;0;0,0;11;1;0;0;0;0;1,0;44,2;7;0,0;0,0;26;2;24;0;7;16;3;0;1;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;5;0;0;0;0,5;0;0;0,0;0,5;1;0,0;1,25;182 days 00:00:00.000000000
867;Letras;2013.2;3;Linguística I;33;2013-06-30 21:00:00;2013-12-29 21:00:00;414;60;0;6;10;88;0;0;0;0;1;0;17;2;1;2,0;32;5;0;3;0;3;3,0;76,55;43;2,0;2,0;93;17;51;33;6;52;2;1;5;0;3,6;0,0;3,6;3,3;0,0;3,3;3,45;5;5;5;5;2,0;3;6;2,25;7,7;0;3,45;5,0;182 days 00:00:00.000000000
993;Letras;2013.2;3;Linguística I;33;2013-06-30 21:00:00;2013-12-29 21:00:00;341;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0,0;0,0;0;0,0;0,0;1;0;1;0;0;1;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0;0;0,0;0;0;0,0;0,0;1;0,0;0,0;182 days 00:00:00.000000000
1080;Letras;2013.2;3;Linguística I;33;2013-06-30 21:00:00;2013-12-29 21:00:00;232;3;0;0;0;75;0;0;0;0;0;0;19;3;1;6,0;31;4;0;4;0;2;2,0;72,05;3;6,0;6,0;61;26;55;16;2;43;0;1;4;0;4,95;0,0;4,95;4,95;0,0;4,95;4,95;5;5;5;5;2,0;5;6;2,75;9,7;0;4,95;5,0;182 days 00:00:00.000000000
1244;Letras;2013.2;3;Linguística I;33;2013-06-30 21:00:00;2013-12-29 21:00:00;59;131;0;14;20;116;0;0;0;0;2;0;17;2;1;2,0;35;4;0;6;0;2;6,0;78,36;36;2,0;2,0;167;26;84;22;60;69;16;1;4;0;0,0;2,2;2,2;3,3;0,0;3,3;2,75;5;5;5;5;2,0;4;6;2,5;7,25;0;2,75;5,0;182 days 00:00:00.000000000
