;CURSO;SEMESTRE;PERIODO;NOME_DA_DISCIPLINA;ID_DA_DISCIPLINA;DATA_DE_INICIO;DATA_DE_FINAL;ID_DO_ALUNO;VAR01;VAR02;VAR03;VAR04;VAR05;VAR06;VAR07;VAR08;VAR09;VAR10;VAR12;VAR13;VAR14;VAR16;VAR17;VAR18;VAR19;VAR20;VAR21;VAR22;VAR23;VAR24;VAR25;VAR28;VAR29;VAR30;VAR31;VAR31B;VAR31C;VAR32A;VAR32B;VAR32C;VAR32D;VAR33;VAR34;VAR35;PROVA01;PROVA01_2CHAMADA;PRIMEIRA_PROVA;PROVA02;PROVA02_2CHAMADA;SEGUNDA_PROVA;MEDIA_PROVAS;FORUM01;FORUM02;FORUM03;FORUM04;MEDIA_FORUM;WEBQUEST01;WEBQUEST02;MEDIA_WEBQUEST;DESEMPENHO;DESEMPENHO_BINARIO;MEDIA_CALCULADA_PROVA;MEDIA_CALCULADA_FORUM;TEMPO_DE_CURSO
173;Pedagogia;2013.2;3;Didática ;29;2013-06-30 21:00:00;2013-12-31 20:59:59;106;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0,0;0,0;0;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0;0;0,0;0;0;0,0;0,0;1;0,0;0,0;183 days 23:59:59.000000000
330;Pedagogia;2013.2;3;Didática ;29;2013-06-30 21:00:00;2013-12-31 20:59:59;325;5;0;0;3;10;0;0;4;2;1;0;19;3;0;24,5;44;8;0;2;0;2;4,0;222,58;77;24,5;24,5;104;39;73;13;76;15;0;2;8;0;3,85;0,0;3,85;4,4;0,0;4,4;4,125;5;5;5;3;1,8;6;6;3,0;8,925;0;4,125;4,5;183 days 23:59:59.000000000
382;Pedagogia;2013.2;3;Didática ;29;2013-06-30 21:00:00;2013-12-31 20:59:59;488;6;0;0;1;9;0;0;0;0;0;0;12;2;0;3,0;20;4;0;2;0;2;2,0;222,27;4;3,0;3,0;64;19;47;16;12;34;2;2;4;0;4,95;0,0;4,95;4,95;0,0;4,95;4,95;5;5;5;3;1,8;6;6;3,0;9,75;0;4,95;4,5;183 days 23:59:59.000000000
399;Pedagogia;2013.2;3;Didática ;29;2013-06-30 21:00:00;2013-12-31 20:59:59;384;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0,0;0,0;0;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0;0;0,0;0;0;0,0;0,0;1;0,0;0,0;183 days 23:59:59.000000000
674;Pedagogia;2013.2;3;Didática ;29;2013-06-30 21:00:00;2013-12-31 20:59:59;270;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0,0;0,0;0;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0;0;0,0;0;0;0,0;0,0;1;0,0;0,0;183 days 23:59:59.000000000
889;Pedagogia;2013.2;3;Didática ;29;2013-06-30 21:00:00;2013-12-31 20:59:59;145;16;0;0;9;29;0;0;0;0;1;0;21;3;0;0,0;25;5;0;1;0;1;2,0;228,13;15;0,0;0,0;67;19;42;12;30;24;1;1;5;0;1,1;0,0;1,1;2,75;2,2;2,75;1,925;4;4;3;4;1,5;0;6;1,5;4,925;0;1,925;3,75;183 days 23:59:59.000000000
961;Pedagogia;2013.2;3;Didática ;29;2013-06-30 21:00:00;2013-12-31 20:59:59;100;50;0;0;0;5;0;0;0;0;0;0;16;2;0;2,0;38;4;0;4;0;2;10,0;230,46;203;2,0;2,0;279;47;120;69;71;127;12;2;4;0;3,85;0,0;3,85;2,2;0,0;2,2;3,025;5;5;5;5;2,0;5;6;2,75;7,775;0;3,0250000000000004;5,0;183 days 23:59:59.000000000
975;Pedagogia;2013.2;3;Didática ;29;2013-06-30 21:00:00;2013-12-31 20:59:59;432;6;0;0;0;1;0;0;0;0;0;0;22;3;0;0,0;16;0;0;1;0;1;1,0;0,0;12;0,0;0,0;31;7;22;12;9;10;0;1;0;0;2,2;0,0;2,2;3,3;3,3;3,3;2,75;0;0;0;0;0,0;6;0;1,5;4,25;0;2,75;0,0;183 days 23:59:59.000000000
1010;Pedagogia;2013.2;3;Didática ;29;2013-06-30 21:00:00;2013-12-31 20:59:59;497;4;0;0;0;7;0;0;1;0;0;0;16;2;0;1,5;15;3;0;7;0;2;1,0;251,6;17;1,5;1,5;42;13;25;17;11;14;0;2;3;0;5,5;4,95;5,5;4,85;0,0;4,85;5,175;5;0;4;5;1,4;6;6;3,0;9,575;0;5,175;3,5;183 days 23:59:59.000000000
1091;Pedagogia;2013.2;3;Didática ;29;2013-06-30 21:00:00;2013-12-31 20:59:59;369;48;0;0;4;8;0;0;2;0;1;0;23;3;0;27,5;27;4;0;3;0;2;6,0;229,28;33;27,5;27,5;173;30;97;29;17;121;6;2;4;0;3,3;0,0;3,3;4,4;0,0;4,4;3,85;4;5;5;4;1,8;6;6;3,0;8,65;0;3,85;4,5;183 days 23:59:59.000000000
1093;Pedagogia;2013.2;3;Didática ;29;2013-06-30 21:00:00;2013-12-31 20:59:59;52;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0,0;0,0;0;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0;0;0,0;0;0;0,0;0,0;1;0,0;0,0;183 days 23:59:59.000000000
