;CURSO;SEMESTRE;PERIODO;NOME_DA_DISCIPLINA;ID_DA_DISCIPLINA;DATA_DE_INICIO;DATA_DE_FINAL;ID_DO_ALUNO;VAR01;VAR02;VAR03;VAR04;VAR05;VAR06;VAR07;VAR08;VAR09;VAR10;VAR12;VAR13;VAR14;VAR16;VAR17;VAR18;VAR20;VAR21;VAR22;VAR23;VAR24;VAR25;VAR28;VAR31;VAR31B;VAR31C;VAR32A;VAR32B;VAR32C;VAR32D;VAR33;VAR34;VAR35;PROVA01;PROVA01_2CHAMADA;PRIMEIRA_PROVA;PROVA02;PROVA02_2CHAMADA;SEGUNDA_PROVA;MEDIA_PROVAS;FORUM01;FORUM02;FORUM03;FORUM04;MEDIA_FORUM;WEBQUEST01;WEBQUEST02;MEDIA_WEBQUEST;DESEMPENHO;DESEMPENHO_BINARIO;MEDIA_CALCULADA_PROVA;MEDIA_CALCULADA_FORUM;TEMPO_DE_CURSO
2159;Pedagogia;2011.2;3;Metodologia Científica;50;2011-06-30 21:00:00;2011-12-31 20:59:59;168;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0;0;0,0;0;0;0,0;0,0;1;0,0;0,0;183 days 23:59:59.000000000
8737;Pedagogia;2014.1;8;Avaliação da Aprendizagem;50;2013-12-31 21:00:00;2014-06-30 20:59:59;441;3;0;0;2;8;0;0;0;2;0;0;17;2;0;18,0;10;0;1;0;1;4,0;68,51;89;108;6;54;39;27;42;0;1;2;0;4,95;0,0;4,95;0,0;0,0;0,0;2,475;5;5;0;0;1,0;0;0;0,0;3,475;1;2,475;2,5;180 days 23:59:59.000000000
1600;Pedagogia;2011.1;2;Prática Pedagógica II;36;2010-12-31 21:00:00;2011-06-30 20:59:59;135;6;0;1;1;30;0;0;3;3;1;0;11;1;0;20,0;22;0;0;0;0;3,0;62,22;26;89;0;53;21;36;32;0;2;3;0;9,0;0,0;9,0;9,0;0,0;9,0;4,95;2;3;4;0;0,45;6;5;1,375;6,78;0;9,0;2,25;180 days 23:59:59.000000000
2588;Pedagogia;2011.2;3;Prática Pedagogica III;51;2011-06-30 21:00:00;2011-12-31 20:59:59;65;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0;0;0,0;0;0;0,0;0,0;1;0,0;0,0;183 days 23:59:59.000000000
8880;Pedagogia;2014.1;8;Educação e Tecnologia;56;2013-12-31 21:00:00;2014-06-30 20:59:59;405;12;6;0;17;29;0;0;0;4;1;0;15;2;0;4,0;22;0;1;0;1;3,0;79,92;61;81;14;39;20;19;37;5;1;4;0;4,4;0,0;4,4;0,0;0,0;0,0;2,2;5;5;5;0;1,5;6;0;1,5;5,2;0;2,2;3,75;180 days 23:59:59.000000000
10576;Pedagogia;2014.2;1;Linguagem na Produção do Conhecimento ;110;2014-06-30 21:00:00;2014-12-31 20:59:59;1885;21;0;5;8;21;0;0;0;0;0;0;22;3;0;33,54;13;0;1;3;3;3,7308;56,53;61;97;9;33;24;26;42;5;2;4;0;0,0;0,0;0,0;0,0;1,65;1,65;0,825;5;5;5;5;2,0;6;6;3,0;5,825;0;0,825;5,0;183 days 23:59:59.000000000
13753;Pedagogia;2016.1;8;Educação e Tecnologias;64;2015-12-31 21:00:00;2016-06-30 20:59:59;914;6;3;0;3;8;0;0;2;1;0;0;8;1;0;32,5;25;0;0;0;11;3,0;74,39;72;87;43;58;22;29;36;0;2;7;0;4,95;0,0;4,95;0,0;3,3;3,3;4,125;3;2;5;5;1,5;6;6;3,0;8,625;0;4,125;3,75;181 days 23:59:59.000000000
5078;Pedagogia;2013.2;3;Organização da Educação Nacional;34;2013-06-30 21:00:00;2013-12-31 20:59:59;382;43;0;0;1;20;0;0;0;0;0;0;18;3;0;1,0;16;0;3;0;2;3,0;237,5;22;98;19;54;31;16;47;4;2;3;0;2,75;3,3;3,3;3,3;0,0;3,3;3,3;4;5;0;5;1,4;6;4;2,5;7,2;0;3,3;3,5;183 days 23:59:59.000000000
8009;Pedagogia;2014.1;4;Planejamento Educacional;48;2013-12-31 21:00:00;2014-06-30 20:59:59;192;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0;0;0,0;0;0;0,0;0,0;1;0,0;0,0;180 days 23:59:59.000000000
605;Pedagogia;2010.2;1;Prática Pedagógica 1;20;2010-06-30 21:00:00;2010-12-31 20:59:59;89;5;0;1;2;51;0;0;2;0;0;0;19;3;0;28,5;9;0;0;0;0;2,0;70,56;40;71;0;37;16;30;25;0;2;3;0;7,0;0,0;7,0;7,0;0,0;7,0;3,85;7;9;10;0;1,3;9;7;2,0;7,15;0;7,0;6,5;183 days 23:59:59.000000000
