;CURSO;SEMESTRE;PERIODO;NOME_DA_DISCIPLINA;ID_DA_DISCIPLINA;DATA_DE_INICIO;DATA_DE_FINAL;ID_DO_ALUNO;VAR01;VAR02;VAR03;VAR04;VAR05;VAR06;VAR07;VAR08;VAR09;VAR10;VAR12;VAR13;VAR14;VAR16;VAR17;VAR18;VAR20;VAR21;VAR22;VAR23;VAR24;VAR25;VAR28;VAR31;VAR31B;VAR31C;VAR32A;VAR32B;VAR32C;VAR32D;VAR33;VAR34;VAR35;PROVA01;PROVA01_2CHAMADA;PRIMEIRA_PROVA;PROVA02;PROVA02_2CHAMADA;SEGUNDA_PROVA;MEDIA_PROVAS;FORUM01;FORUM02;FORUM03;FORUM04;MEDIA_FORUM;WEBQUEST01;WEBQUEST02;MEDIA_WEBQUEST;DESEMPENHO;DESEMPENHO_BINARIO;MEDIA_CALCULADA_PROVA;MEDIA_CALCULADA_FORUM;TEMPO_DE_CURSO
2552;Administracao;2016.1;4;Direito Administrativo;18;2015-12-31 21:00:00;2016-06-30 20:59:59;1183;6;1;0;8;23;0;0;1;1;1;0;14;2;0;33,0;27;0;0;0;0;4,0;78,91;81;110;31;57;49;47;13;1;2;5;0;4,8;0,0;4,8;0,0;0,0;0,0;2,4;3;5;5;5;1,8;5;6;2,75;6,95;0;2,4;4,5;181 days 23:59:59.000000000
2551;Administracao;2016.1;4;Direito Administrativo;18;2015-12-31 21:00:00;2016-06-30 20:59:59;1192;6;0;0;33;45;0;0;1;5;2;0;10;1;0;58,0;181;0;0;2;0;20,0;65,82;4;532;90;121;216;205;106;5;2;6;0;4,3;0,0;4,3;0,0;0,0;0,0;2,15;4;4;4;5;1,7;5;6;2,75;6,6;0;2,15;4,25;181 days 23:59:59.000000000
1161;Administracao;2011.2;4;Direito Administrativo;40;2011-06-30 21:00:00;2011-12-29 21:00:00;775;44;0;17;48;90;2;2;0;2;3;0;10;1;2;0,0;67;0;0;0;0;9,0;89,51;210;242;0;120;70;68;99;5;0;6;0;4,55;0,0;4,55;6,0;0,0;6,0;2,90125;5;7;7;4;1,15;10;10;2,5;6,55125;0;5,275;5,75;182 days 00:00:00.000000000
2576;Administracao;2016.1;4;Direito Administrativo;18;2015-12-31 21:00:00;2016-06-30 20:59:59;1207;6;0;0;34;32;0;0;0;2;3;0;22;3;0;52,0;42;0;0;0;0;4,0;74,81;106;119;34;76;18;40;59;2;2;5;0;3,85;0,0;3,85;0,0;0,0;0,0;1,925;3;3;5;5;1,6;5;6;2,75;6,275;0;1,925;4,0;181 days 23:59:59.000000000
1107;Administracao;2011.2;4;Direito Administrativo;40;2011-06-30 21:00:00;2011-12-29 21:00:00;838;109;0;3;10;76;1;1;0;1;3;0;22;3;2;0,0;49;0;0;0;0;11,0;77,49;26;290;0;156;107;98;83;2;0;3;0;6,36;0,0;6,36;4,0;0,0;4,0;2,849;4;0;7;0;0,55;8;9;2,125;5,524;0;5,18;2,75;182 days 00:00:00.000000000
1152;Administracao;2011.2;4;Direito Administrativo;40;2011-06-30 21:00:00;2011-12-29 21:00:00;848;5;0;7;18;81;3;5;1;6;4;0;6;1;2;0,0;47;0;0;0;0;4,0;84,52;104;107;0;72;17;30;57;3;0;9;3;5,45;0,0;5,45;6,0;0,0;6,0;3,14875;6;8;9;8;1,55;0;5;0,625;5,32375;0;5,725;7,75;182 days 00:00:00.000000000
1117;Administracao;2011.2;4;Direito Administrativo;40;2011-06-30 21:00:00;2011-12-29 21:00:00;785;15;0;15;50;101;0;0;0;1;6;0;7;1;2;0,0;33;0;0;0;0;3,0;99,48;33;91;0;52;10;33;44;4;0;4;0;4,55;5,0;5,0;0,0;0,0;0,0;1,375;0;10;8;7;1,25;10;10;2,5;5,125;0;2,5;6,25;182 days 00:00:00.000000000
1131;Administracao;2011.2;4;Direito Administrativo;40;2011-06-30 21:00:00;2011-12-29 21:00:00;776;9;0;11;15;63;0;0;0;1;0;0;15;2;1;0,0;32;0;0;0;0;4,0;77,58;107;119;0;79;22;78;17;2;0;3;0;5,45;0,0;5,45;3,0;0,0;3,0;2,32375;4;7;0;7;0,9;0;8;1,0;4,22375;0;4,225;4,5;182 days 00:00:00.000000000
1105;Administracao;2011.2;4;Direito Administrativo;40;2011-06-30 21:00:00;2011-12-29 21:00:00;852;10;0;0;0;68;0;0;0;0;0;0;22;3;2;0,0;13;0;0;0;0;2,0;129,23;27;53;0;36;14;9;30;0;0;1;0;1,82;0,0;1,82;4,0;0,0;4,0;1,6005;0;0;0;8;0,4;8;9;2,125;4,1255;0;2,91;2,0;182 days 00:00:00.000000000
1163;Administracao;2011.2;4;Direito Administrativo;40;2011-06-30 21:00:00;2011-12-29 21:00:00;810;49;0;3;4;82;0;0;5;0;1;0;22;3;2;0,0;33;0;0;0;0;3,0;91,89;71;85;0;58;37;27;21;0;0;5;0;0,91;3,0;3,0;0,0;2,0;2,0;1,375;0;0;0;7;0,35;8;10;2,25;3,975;1;2,5;1,75;182 days 00:00:00.000000000
