;CURSO;SEMESTRE;PERIODO;NOME_DA_DISCIPLINA;ID_DA_DISCIPLINA;DATA_DE_INICIO;DATA_DE_FINAL;ID_DO_ALUNO;VAR01;VAR02;VAR03;VAR04;VAR05;VAR06;VAR07;VAR08;VAR09;VAR10;VAR12;VAR13;VAR14;VAR16;VAR17;VAR18;VAR20;VAR21;VAR22;VAR23;VAR24;VAR25;VAR28;VAR31;VAR31B;VAR31C;VAR32A;VAR32B;VAR32C;VAR32D;VAR33;VAR34;VAR35;PROVA01;PROVA01_2CHAMADA;PRIMEIRA_PROVA;PROVA02;PROVA02_2CHAMADA;SEGUNDA_PROVA;MEDIA_PROVAS;FORUM01;FORUM02;FORUM03;FORUM04;MEDIA_FORUM;WEBQUEST01;WEBQUEST02;MEDIA_WEBQUEST;DESEMPENHO;DESEMPENHO_BINARIO;MEDIA_CALCULADA_PROVA;MEDIA_CALCULADA_FORUM;TEMPO_DE_CURSO
5701;Letras;2016.1;4;Morfossintaxe II;50;2015-12-31 21:00:00;2016-06-30 20:59:59;1497;13;0;0;28;68;0;0;0;0;1;0;9;1;0;3,0;23;0;0;0;0;5,0;83,88;86;139;19;74;52;64;23;0;3;4;0;4,95;0,0;4,95;5,5;0,0;5,5;5,225;5;5;4;5;1,9;6;5;2,75;9,875;0;5,225;4,75;181 days 23:59:59.000000000
5865;Letras;2016.1;4;Morfossintaxe II;50;2015-12-31 21:00:00;2016-06-30 20:59:59;1424;10;0;0;4;57;0;0;0;1;1;0;9;1;1;43,0;33;0;0;0;0;10,0;75,11;64;281;37;108;88;111;80;2;2;4;0;4,95;0,0;4,95;4,4;0,0;4,4;4,675;4;5;5;5;1,9;5;6;2,75;9,325;0;4,675000000000002;4,75;181 days 23:59:59.000000000
5786;Letras;2016.1;4;Morfossintaxe II;50;2015-12-31 21:00:00;2016-06-30 20:59:59;1521;8;3;10;39;82;0;0;0;1;3;0;8;1;0;31,25;40;0;0;1;0;15,0;80,06;96;404;83;109;138;114;122;30;4;4;0;5,5;0,0;5,5;3,85;0,0;3,85;4,675;5;5;5;5;2,0;4;6;2,5;9,175;0;4,675;5,0;181 days 23:59:59.000000000
1226;Letras;2011.1;4;Morfossintaxe II;46;2010-12-31 21:00:00;2011-06-29 21:00:00;192;11;1;0;194;347;0;6;11;19;9;0;6;1;0;5,0;156;1;0;0;0;13,0;89,28;341;351;0;165;70;185;96;0;2;19;6;4,4;0,0;4,4;2,7;0,0;2,7;3,55;5;5;5;5;2,0;6;6;3,0;8,55;0;3,5500000000000003;5,0;180 days 00:00:00.000000000
5831;Letras;2016.1;4;Morfossintaxe II;50;2015-12-31 21:00:00;2016-06-30 20:59:59;1470;2;0;0;1;0;0;0;0;1;0;0;16;2;0;8,0;28;0;0;0;0;3,0;85,0;58;91;33;49;23;28;40;0;2;4;0;2,48;0,0;2,48;5,5;0,0;5,5;3,99;5;5;5;5;2,0;4;5;2,25;8,24;0;3,99;5,0;181 days 23:59:59.000000000
5837;Letras;2016.1;4;Morfossintaxe II;50;2015-12-31 21:00:00;2016-06-30 20:59:59;1473;4;2;0;9;46;0;0;0;0;1;0;19;3;0;46,5;36;0;0;0;0;2,0;74,03;34;73;35;52;6;10;57;0;2;5;0;3,3;0,0;3,3;4,4;0,0;4,4;3,85;4;5;5;5;1,9;4;5;2,25;8,0;0;3,85;4,75;181 days 23:59:59.000000000
5702;Letras;2016.1;4;Morfossintaxe II;50;2015-12-31 21:00:00;2016-06-30 20:59:59;1550;12;0;0;10;70;0;0;0;0;0;0;12;2;0;3,5;17;0;0;0;0;3,0;83,42;78;82;19;56;17;14;47;4;2;4;0;3,85;0,0;3,85;2,2;0,0;2,2;3,025;5;5;5;5;2,0;5;6;2,75;7,775;0;3,0250000000000004;5,0;181 days 23:59:59.000000000
5829;Letras;2016.1;4;Morfossintaxe II;50;2015-12-31 21:00:00;2016-06-30 20:59:59;1532;30;0;0;17;68;0;0;0;0;3;0;7;1;1;44,5;62;0;0;13;0;13,0;69,78;71;345;32;109;77;125;137;6;2;4;0;5,5;0,0;5,5;3,85;0,0;3,85;4,675;5;5;5;5;2,0;4;0;1,0;7,675;0;4,675;5,0;181 days 23:59:59.000000000
5761;Letras;2016.1;4;Morfossintaxe II;50;2015-12-31 21:00:00;2016-06-30 20:59:59;1439;5;0;0;2;50;0;0;0;0;0;0;20;3;0;10,0;17;0;0;0;0;3,0;68,61;15;91;14;65;9;4;78;0;2;3;0;4,4;0,0;4,4;5,5;0,0;5,5;4,95;4;0;5;0;0,9;3;4;1,75;7,6;0;4,95;2,25;181 days 23:59:59.000000000
5797;Letras;2016.1;4;Morfossintaxe II;50;2015-12-31 21:00:00;2016-06-30 20:59:59;1614;6;0;0;16;67;0;0;0;2;1;0;14;2;0;41,0;23;0;0;0;0;5,0;75,92;21;155;38;93;30;63;60;2;2;5;0;2,2;0,0;2,2;3,85;0,0;3,85;3,025;5;5;5;5;2,0;5;5;2,5;7,525;0;3,0250000000000004;5,0;181 days 23:59:59.000000000
5749;Letras;2016.1;4;Morfossintaxe II;50;2015-12-31 21:00:00;2016-06-30 20:59:59;1468;6;0;1;1;49;0;0;0;0;0;0;20;3;3;6,5;11;0;0;1;0;1,0;82,53;12;42;17;34;6;2;30;4;2;4;0;1,65;0,0;1,65;5,5;0,0;5,5;3,575;4;5;5;0;1,4;5;5;2,5;7,475;0;3,575;3,5;181 days 23:59:59.000000000
5724;Letras;2016.1;4;Morfossintaxe II;50;2015-12-31 21:00:00;2016-06-30 20:59:59;1568;42;0;0;10;70;0;0;0;1;1;0;22;3;3;16,33;19;0;0;1;0;3,0;78,91;72;78;17;52;18;20;40;0;3;3;0;2,75;0,0;2,75;3,85;0,0;3,85;3,3;4;5;0;5;1,4;6;5;2,75;7,45;0;3,3;3,5;181 days 23:59:59.000000000
5821;Letras;2016.1;4;Morfossintaxe II;50;2015-12-31 21:00:00;2016-06-30 20:59:59;455;8;0;0;2;57;0;0;0;2;0;0;12;2;0;30,0;16;0;0;0;0;3,0;85,26;96;103;32;67;13;28;47;15;2;4;0;1,65;0,0;1,65;3,3;0,0;3,3;2,475;5;5;5;5;2,0;5;6;2,75;7,225;0;2,475;5,0;181 days 23:59:59.000000000
5730;Letras;2016.1;4;Morfossintaxe II;50;2015-12-31 21:00:00;2016-06-30 20:59:59;1607;4;0;0;19;72;0;0;0;1;2;0;10;1;0;26,5;13;0;0;2;0;2,0;84,93;29;58;32;43;47;5;6;0;2;4;0;4,95;0,0;4,95;3,85;0,0;3,85;4,4;4;0;5;5;1,4;0;5;1,25;7,05;0;4,4;3,5;181 days 23:59:59.000000000
5862;Letras;2016.1;4;Morfossintaxe II;50;2015-12-31 21:00:00;2016-06-30 20:59:59;378;9;0;0;11;55;0;0;5;0;0;0;1;4;0;0,5;12;0;0;0;0;2,0;89,77;25;57;19;34;13;13;29;2;2;5;0;4,4;0,0;4,4;4,4;0,0;4,4;4,4;5;0;4;5;1,4;0;5;1,25;7,05;0;4,4;3,5;181 days 23:59:59.000000000
1221;Letras;2011.1;4;Morfossintaxe II;46;2010-12-31 21:00:00;2011-06-29 21:00:00;243;2;1;0;85;275;0;1;2;6;9;0;17;2;0;6,0;74;0;0;0;0;5,0;96,04;11;141;0;116;7;54;79;1;2;8;1;2,2;0,0;2,2;4,5;0,0;4,5;3,35;3;4;4;5;1,6;5;3;2,0;6,95;0;3,35;4,0;180 days 00:00:00.000000000
5789;Letras;2016.1;4;Morfossintaxe II;50;2015-12-31 21:00:00;2016-06-30 20:59:59;1601;7;0;8;77;108;0;0;0;1;1;0;15;3;0;20,0;77;0;0;17;0;20,0;63,41;495;532;78;130;132;205;191;4;4;11;0;2,2;0,0;2,2;2,2;0,0;2,2;2,2;5;5;5;5;2,0;6;5;2,75;6,95;0;2,2;5,0;181 days 23:59:59.000000000
5703;Letras;2016.1;4;Morfossintaxe II;50;2015-12-31 21:00:00;2016-06-30 20:59:59;1538;15;0;0;8;61;0;0;0;1;1;0;0;3;0;28,0;20;0;0;0;0;7,0;80,71;56;197;48;96;9;36;75;77;2;4;0;3,3;0,0;3,3;3,85;0,0;3,85;3,575;4;5;5;5;1,9;0;5;1,25;6,725;0;3,575;4,75;181 days 23:59:59.000000000
5719;Letras;2016.1;4;Morfossintaxe II;50;2015-12-31 21:00:00;2016-06-30 20:59:59;1586;39;0;5;79;93;0;0;0;0;2;0;9;1;1;34,5;38;0;0;0;0;20,0;80,98;115;522;65;110;218;243;60;1;2;5;0;2,2;0,0;2,2;1,1;0,0;1,1;1,65;5;5;5;5;2,0;6;5;2,75;6,4;0;1,65;5,0;181 days 23:59:59.000000000
5846;Letras;2016.1;4;Morfossintaxe II;50;2015-12-31 21:00:00;2016-06-30 20:59:59;1553;12;5;0;32;79;0;0;0;1;2;0;16;2;0;22,0;39;0;0;0;0;8,0;83,04;59;209;52;108;20;59;130;0;2;4;0;1,1;0,0;1,1;2,2;0,0;2,2;1,65;5;5;5;5;2,0;5;6;2,75;6,4;0;1,65;5,0;181 days 23:59:59.000000000
5773;Letras;2016.1;4;Morfossintaxe II;50;2015-12-31 21:00:00;2016-06-30 20:59:59;449;20;0;20;66;103;0;0;1;0;0;0;13;2;3;39,0;24;0;0;0;0;12,0;60,61;302;318;80;117;106;120;85;7;3;5;0;0,55;0,0;0,55;3,3;0,0;3,3;1,925;5;5;4;5;1,9;4;5;2,25;6,075;0;1,925;4,75;181 days 23:59:59.000000000
5791;Letras;2016.1;4;Morfossintaxe II;50;2015-12-31 21:00:00;2016-06-30 20:59:59;1542;13;0;0;14;65;0;0;0;0;3;0;13;2;0;23,0;37;0;0;0;0;8,0;84,08;169;209;45;88;64;65;71;9;2;4;0;0,0;3,75;0,0;2,2;0,0;2,2;1,1;5;5;5;5;2,0;6;5;2,75;5,85;0;1,1;5,0;181 days 23:59:59.000000000
5686;Letras;2016.1;4;Morfossintaxe II;50;2015-12-31 21:00:00;2016-06-30 20:59:59;1435;15;0;0;0;39;0;0;3;0;0;0;14;2;0;19,5;8;0;0;0;0;1,0;63,23;22;41;12;28;5;17;19;0;2;3;0;0,0;0,0;0,0;4,4;0,0;4,4;2,2;5;5;5;0;1,5;4;4;2,0;5,7;0;2,2;3,75;181 days 23:59:59.000000000
5707;Letras;2016.1;4;Morfossintaxe II;50;2015-12-31 21:00:00;2016-06-30 20:59:59;1608;4;0;0;0;57;0;0;0;1;0;0;19;3;0;29,0;12;0;0;0;0;2,0;75,35;65;73;26;56;5;4;63;1;2;5;0;0,55;0,0;0,55;2,2;0,0;2,2;1,375;4;5;5;5;1,9;4;5;2,25;5,525;0;1,375;4,75;181 days 23:59:59.000000000
3368;Letras;2014.1;4;Morfossintaxe II;56;2013-12-31 21:00:00;2014-06-29 21:00:00;214;13;0;0;0;21;0;0;0;0;0;0;15;2;0;11,0;12;0;1;0;1;2,0;71,2;48;61;7;36;24;30;7;0;1;2;0;4,95;0,0;4,95;0,0;0,0;0,0;2,475;5;5;5;0;1,5;6;0;1,5;5,475;0;2,475;3,75;180 days 00:00:00.000000000
3475;Letras;2014.1;4;Morfossintaxe II;56;2013-12-31 21:00:00;2014-06-29 21:00:00;105;3;0;0;36;63;0;0;0;0;3;0;21;3;0;4,0;15;0;1;0;1;3,0;61,78;97;103;13;61;28;35;40;0;1;2;0;4,95;0,0;4,95;0,0;0,0;0,0;2,475;5;5;0;0;1,0;6;0;1,5;4,975;0;2,475;2,5;180 days 00:00:00.000000000
3429;Letras;2014.1;4;Morfossintaxe II;56;2013-12-31 21:00:00;2014-06-29 21:00:00;232;2;0;0;0;25;0;0;0;1;0;0;19;3;0;3,0;23;0;1;0;1;1,0;76,46;1;34;15;29;7;3;24;0;1;3;0;4,35;0,0;4,35;0,0;0,0;0,0;2,175;5;4;5;0;1,4;5;0;1,25;4,825;0;2,175;3,5;180 days 00:00:00.000000000
3466;Letras;2014.1;4;Morfossintaxe II;56;2013-12-31 21:00:00;2014-06-29 21:00:00;33;4;0;0;34;96;0;0;1;3;5;0;12;2;0;1,0;38;0;3;0;1;4,0;73,39;24;123;2;62;44;62;17;0;1;5;0;3,8;0,0;3,8;0,0;0,0;0,0;1,9;5;5;5;0;1,5;4;0;1,0;4,4;0;1,9;3,75;180 days 00:00:00.000000000
1183;Letras;2011.1;4;Morfossintaxe II;46;2010-12-31 21:00:00;2011-06-29 21:00:00;149;4;0;0;147;321;0;0;2;4;9;0;22;3;0;0,5;52;0;0;0;0;5,0;100,59;20;155;0;93;39;54;56;6;2;6;0;1,1;0,0;1,1;1,2;0,0;1,2;1,15;4;4;3;4;1,5;4;2;1,5;4,15;0;1,15;3,75;180 days 00:00:00.000000000
5717;Letras;2016.1;4;Morfossintaxe II;50;2015-12-31 21:00:00;2016-06-30 20:59:59;1590;10;0;0;10;64;0;0;4;0;2;0;8;1;1;10,0;9;0;0;0;0;1,0;85,15;17;50;12;25;11;10;29;0;1;4;0;0,0;0,0;0,0;2,75;0,0;2,75;1,375;5;5;5;0;1,5;0;5;1,25;4,125;0;1,375;3,75;181 days 23:59:59.000000000
5776;Letras;2016.1;4;Morfossintaxe II;50;2015-12-31 21:00:00;2016-06-30 20:59:59;540;15;4;1;45;85;0;0;2;1;3;0;9;3;1;25,0;18;0;0;0;0;7,0;84,94;172;186;21;90;50;44;90;2;2;2;0;0,0;2,2;0,0;3,85;0,0;3,85;1,925;5;0;0;5;1,0;0;4;1,0;3,925;1;1,925;2,5;181 days 23:59:59.000000000
3462;Letras;2014.1;4;Morfossintaxe II;56;2013-12-31 21:00:00;2014-06-29 21:00:00;44;27;0;0;1;17;0;0;1;2;0;0;18;3;0;1,0;6;0;2;0;1;2,0;74,47;44;66;11;43;31;21;14;0;1;2;0;3,25;0,0;3,25;0,0;0,0;0,0;1,625;4;4;0;0;0,8;6;0;1,5;3,925;1;1,625;2,0;180 days 00:00:00.000000000
3421;Letras;2014.1;4;Morfossintaxe II;56;2013-12-31 21:00:00;2014-06-29 21:00:00;58;16;0;0;3;31;0;0;0;0;0;0;19;3;0;2,0;12;0;1;0;1;1,0;73,65;31;42;10;30;6;11;25;0;1;2;0;2,05;0,0;2,05;0,0;0,0;0,0;1,025;5;5;0;0;1,0;5;0;1,25;3,275;1;1,025;2,5;180 days 00:00:00.000000000
3404;Letras;2014.1;4;Morfossintaxe II;56;2013-12-31 21:00:00;2014-06-29 21:00:00;222;4;0;0;0;17;0;0;0;1;0;0;0;0;0;0,0;7;0;0;0;0;2,0;70,37;44;53;11;41;13;8;30;2;0;2;0;3,25;0,0;3,25;0,0;0,0;0,0;1,625;5;5;0;0;1,0;0;0;0,0;2,625;1;1,625;2,5;180 days 00:00:00.000000000
3407;Letras;2014.1;4;Morfossintaxe II;56;2013-12-31 21:00:00;2014-06-29 21:00:00;281;4;0;0;0;23;0;0;1;1;0;0;0;0;0;0,0;10;0;0;0;0;1,0;80,22;31;33;6;29;13;7;13;0;0;2;0;3,25;0,0;3,25;0,0;0,0;0,0;1,625;4;0;5;0;0,9;0;0;0,0;2,525;1;1,625;2,25;180 days 00:00:00.000000000
3413;Letras;2014.1;4;Morfossintaxe II;56;2013-12-31 21:00:00;2014-06-29 21:00:00;221;6;0;0;0;17;0;0;1;1;0;0;0;0;0;0,0;4;0;0;0;0;1,0;63,95;10;27;0;23;8;8;11;0;0;1;0;3,85;0,0;3,85;0,0;0,0;0,0;1,925;0;5;0;0;0,5;0;0;0,0;2,425;1;1,925;1,25;180 days 00:00:00.000000000
5838;Letras;2016.1;4;Morfossintaxe II;50;2015-12-31 21:00:00;2016-06-30 20:59:59;1562;5;0;0;0;57;0;0;0;1;0;0;15;2;0;0,0;8;0;0;0;0;0,0;66,27;0;23;12;19;12;9;1;1;1;3;0;2,2;0,0;2,2;0,0;0,0;0,0;1,1;4;5;0;0;0,9;0;0;0,0;2,0;1;1,1;2,25;181 days 23:59:59.000000000
