;CURSO;SEMESTRE;PERIODO;NOME_DA_DISCIPLINA;ID_DA_DISCIPLINA;DATA_DE_INICIO;DATA_DE_FINAL;ID_DO_ALUNO;VAR01;VAR02;VAR03;VAR04;VAR05;VAR06;VAR07;VAR08;VAR09;VAR10;VAR12;VAR13;VAR14;VAR16;VAR17;VAR18;VAR20;VAR21;VAR22;VAR23;VAR24;VAR25;VAR28;VAR31;VAR31B;VAR31C;VAR32A;VAR32B;VAR32C;VAR32D;VAR33;VAR34;VAR35;PROVA01;PROVA01_2CHAMADA;PRIMEIRA_PROVA;PROVA02;PROVA02_2CHAMADA;SEGUNDA_PROVA;MEDIA_PROVAS;FORUM01;FORUM02;FORUM03;FORUM04;MEDIA_FORUM;WEBQUEST01;WEBQUEST02;MEDIA_WEBQUEST;DESEMPENHO;DESEMPENHO_BINARIO;MEDIA_CALCULADA_PROVA;MEDIA_CALCULADA_FORUM;TEMPO_DE_CURSO
12504;Pedagogia;2016.1;4;Educação e Multiculturalismo;59;2015-12-31 21:00:00;2016-06-30 20:59:59;1935;7;0;0;2;5;0;0;0;0;0;0;10;1;0;41,5;13;0;0;0;2;2,0;66,59;22;54;24;41;15;16;23;0;2;3;0;4,95;0,0;4,95;0,0;5,5;5,5;5,225;5;4;4;0;1,3;5;5;2,5;9,025;0;5,225;3,25;181 days 23:59:59.000000000
12681;Pedagogia;2016.1;4;Educação e Multiculturalismo;59;2015-12-31 21:00:00;2016-06-30 20:59:59;1916;6;0;0;10;8;0;0;2;0;1;0;15;2;0;9,5;28;0;0;0;2;3,0;72,98;4;87;45;62;26;26;35;0;2;5;0;4,95;0,0;4,95;4,4;0,0;4,4;4,675;4;4;5;0;1,3;5;6;2,75;8,725;0;4,675000000000002;3,25;181 days 23:59:59.000000000
12538;Pedagogia;2016.1;4;Educação e Multiculturalismo;59;2015-12-31 21:00:00;2016-06-30 20:59:59;1792;24;0;1;13;12;0;0;1;0;0;0;0;3;0;21,0;8;0;0;0;2;4,0;62,12;44;129;23;58;18;55;54;2;2;3;0;4,95;0,0;4,95;5,5;0,0;5,5;5,225;4;3;3;0;1,0;5;5;2,5;8,725;0;5,225;2,5;181 days 23:59:59.000000000
12606;Pedagogia;2016.1;4;Educação e Multiculturalismo;59;2015-12-31 21:00:00;2016-06-30 20:59:59;1893;25;0;0;5;6;0;0;0;0;0;0;19;3;0;22,0;19;0;0;0;2;5,0;83,43;146;154;28;69;24;49;69;12;2;3;0;4,4;0,0;4,4;5,5;0,0;5,5;4,95;3;3;3;0;0,9;5;6;2,75;8,6;0;4,95;2,25;181 days 23:59:59.000000000
12533;Pedagogia;2016.1;4;Educação e Multiculturalismo;59;2015-12-31 21:00:00;2016-06-30 20:59:59;1787;6;0;0;3;4;2;2;3;1;1;0;10;1;0;45,0;36;0;0;1;2;6,0;69,18;44;160;24;80;75;58;27;0;2;8;1;4,95;0,0;4,95;4,4;0,0;4,4;4,675;3;3;5;0;1,1;5;6;2,75;8,525;0;4,675000000000002;2,75;181 days 23:59:59.000000000
12763;Pedagogia;2016.1;4;Educação e Multiculturalismo;59;2015-12-31 21:00:00;2016-06-30 20:59:59;1772;6;0;0;1;5;0;0;1;0;1;0;17;2;0;15,0;6;0;0;4;2;1,0;83,55;22;31;11;19;9;8;10;4;2;3;0;3,85;0,0;3,85;4,95;0,0;4,95;4,4;4;4;5;0;1,3;6;5;2,75;8,45;0;4,4;3,25;181 days 23:59:59.000000000
12716;Pedagogia;2016.1;4;Educação e Multiculturalismo;59;2015-12-31 21:00:00;2016-06-30 20:59:59;1710;6;0;0;1;3;2;3;1;2;0;0;17;2;0;0,0;38;0;0;4;2;2,0;78,5;17;69;29;31;11;13;44;1;2;7;2;4,4;0,0;4,4;5,5;0,0;5,5;4,95;2;4;3;0;0,9;5;5;2,5;8,35;0;4,95;2,25;181 days 23:59:59.000000000
12554;Pedagogia;2016.1;4;Educação e Multiculturalismo;59;2015-12-31 21:00:00;2016-06-30 20:59:59;1632;26;0;0;0;1;0;0;2;0;0;0;16;2;0;25,5;14;0;0;1;2;2,0;54,36;23;63;18;33;20;21;21;1;2;2;0;5,5;0,0;5,5;5,5;0,0;5,5;5,5;3;3;0;0;0,6;4;5;2,25;8,35;0;5,5;1,5;181 days 23:59:59.000000000
12759;Pedagogia;2016.1;4;Educação e Multiculturalismo;59;2015-12-31 21:00:00;2016-06-30 20:59:59;1700;22;0;0;0;2;0;0;0;0;0;0;10;1;0;43,5;20;0;0;0;2;3,0;81,73;13;84;28;53;27;29;28;0;2;3;0;3,85;0,0;3,85;5,5;0,0;5,5;4,675;5;5;4;0;1,4;4;5;2,25;8,325;0;4,675;3,5;181 days 23:59:59.000000000
12704;Pedagogia;2016.1;4;Educação e Multiculturalismo;59;2015-12-31 21:00:00;2016-06-30 20:59:59;1685;21;0;0;1;2;1;1;0;0;0;0;0;3;0;21,0;25;0;0;29;2;3,0;65,63;16;92;27;56;22;26;38;6;2;4;0;4,4;0,0;4,4;5,5;0,0;5,5;4,95;3;3;3;0;0,9;5;4;2,25;8,1;0;4,95;2,25;181 days 23:59:59.000000000
