;CURSO;SEMESTRE;PERIODO;NOME_DA_DISCIPLINA;ID_DA_DISCIPLINA;DATA_DE_INICIO;DATA_DE_FINAL;ID_DO_ALUNO;VAR01;VAR02;VAR03;VAR04;VAR05;VAR06;VAR07;VAR08;VAR09;VAR10;VAR12;VAR13;VAR14;VAR16;VAR17;VAR18;VAR20;VAR21;VAR22;VAR23;VAR24;VAR25;VAR28;VAR31;VAR31B;VAR31C;VAR32A;VAR32B;VAR32C;VAR32D;VAR33;VAR34;VAR35;PROVA01;PROVA01_2CHAMADA;PRIMEIRA_PROVA;PROVA02;PROVA02_2CHAMADA;SEGUNDA_PROVA;MEDIA_PROVAS;FORUM01;FORUM02;FORUM03;FORUM04;MEDIA_FORUM;WEBQUEST01;WEBQUEST02;MEDIA_WEBQUEST;DESEMPENHO;DESEMPENHO_BINARIO;MEDIA_CALCULADA_PROVA;MEDIA_CALCULADA_FORUM;TEMPO_DE_CURSO
13241;Pedagogia;2016.1;4;Planejamento Educacional;61;2015-12-31 21:00:00;2016-06-30 20:59:59;1652;18;0;0;0;2;0;0;0;0;0;0;14;2;0;33,5;36;0;0;0;2;3,0;66,25;7;93;46;54;35;31;27;0;2;4;0;5,5;0,0;5,5;5,5;0,0;5,5;5,5;4;5;5;5;1,9;6;6;3,0;10,4;0;5,5;4,75;181 days 23:59:59.000000000
13266;Pedagogia;2016.1;4;Planejamento Educacional;61;2015-12-31 21:00:00;2016-06-30 20:59:59;1731;54;0;0;0;6;0;0;0;0;0;0;18;3;0;1,0;103;0;0;100;2;7,0;87,35;139;182;76;106;19;91;72;0;2;4;0;5,5;0,0;5,5;5,5;0,0;5,5;5,5;5;5;5;5;2,0;5;6;2,75;10,25;0;5,5;5,0;181 days 23:59:59.000000000
13398;Pedagogia;2016.1;4;Planejamento Educacional;61;2015-12-31 21:00:00;2016-06-30 20:59:59;1775;8;0;0;13;13;0;0;0;0;2;0;6;1;0;18,0;21;0;0;19;2;4,0;85,76;89;127;21;61;55;47;25;0;2;4;0;4,95;0,0;4,95;5,5;0,0;5,5;5,225;5;5;5;5;2,0;5;6;2,75;9,975;0;5,225;5,0;181 days 23:59:59.000000000
13274;Pedagogia;2016.1;4;Planejamento Educacional;61;2015-12-31 21:00:00;2016-06-30 20:59:59;1769;6;0;0;35;31;0;0;0;0;3;0;12;2;0;32,0;143;0;0;6;2;12,0;77,83;234;326;96;116;122;145;58;1;2;4;0;4,95;0,0;4,95;5,5;0,0;5,5;5,225;5;5;5;5;2,0;5;6;2,75;9,975;0;5,225;5,0;181 days 23:59:59.000000000
13434;Pedagogia;2016.1;4;Planejamento Educacional;61;2015-12-31 21:00:00;2016-06-30 20:59:59;1740;7;0;0;1;3;0;0;0;0;1;0;11;1;0;19,5;23;0;0;0;2;3,0;82,36;12;80;28;46;44;16;20;0;2;4;0;5,5;0,0;5,5;5,5;0,0;5,5;5,5;5;5;5;5;2,0;4;5;2,25;9,75;0;5,5;5,0;181 days 23:59:59.000000000
13217;Pedagogia;2016.1;4;Planejamento Educacional;61;2015-12-31 21:00:00;2016-06-30 20:59:59;1799;8;0;0;3;5;1;1;0;0;0;0;8;1;0;12,0;25;0;0;3;2;4,0;83,21;45;119;24;64;39;33;45;2;2;5;0;4,95;0,0;4,95;4,95;0,0;4,95;4,95;4;5;5;5;1,9;6;5;2,75;9,6;0;4,95;4,75;181 days 23:59:59.000000000
13344;Pedagogia;2016.1;4;Planejamento Educacional;61;2015-12-31 21:00:00;2016-06-30 20:59:59;1905;7;0;0;2;4;0;0;4;0;0;0;13;2;0;19,5;16;0;0;0;2;2,0;87,78;39;70;24;38;30;18;22;0;2;4;0;5,5;0,0;5,5;4,95;0,0;4,95;5,225;5;5;5;5;2,0;4;4;2,0;9,225;0;5,225;5,0;181 days 23:59:59.000000000
13280;Pedagogia;2016.1;4;Planejamento Educacional;61;2015-12-31 21:00:00;2016-06-30 20:59:59;1686;44;0;2;3;4;0;0;0;0;0;0;13;2;0;22,5;32;0;0;2;2;5,0;85,41;10;146;31;63;36;36;67;7;2;4;0;4,95;0,0;4,95;4,95;0,0;4,95;4,95;5;5;5;5;2,0;4;5;2,25;9,2;0;4,95;5,0;181 days 23:59:59.000000000
13405;Pedagogia;2016.1;4;Planejamento Educacional;61;2015-12-31 21:00:00;2016-06-30 20:59:59;1793;4;0;0;5;4;0;0;0;0;2;0;16;2;0;25,5;25;0;0;0;2;4,0;81,24;4;117;42;70;11;59;47;0;2;4;0;4,95;0,0;4,95;4,4;0,0;4,4;4,675;5;5;5;5;2,0;5;5;2,5;9,175;0;4,675000000000002;5,0;181 days 23:59:59.000000000
13362;Pedagogia;2016.1;4;Planejamento Educacional;61;2015-12-31 21:00:00;2016-06-30 20:59:59;1914;6;0;0;0;4;0;0;2;0;0;0;8;1;0;17,5;13;0;0;0;2;2,0;91,58;4;53;20;29;20;9;24;0;2;5;0;4,95;0,0;4,95;5,5;0,0;5,5;5,225;5;0;5;5;1,5;4;5;2,25;8,975;0;5,225;3,75;181 days 23:59:59.000000000
