;CURSO;SEMESTRE;PERIODO;NOME_DA_DISCIPLINA;ID_DA_DISCIPLINA;DATA_DE_INICIO;DATA_DE_FINAL;ID_DO_ALUNO;VAR01;VAR02;VAR03;VAR04;VAR05;VAR06;VAR07;VAR08;VAR09;VAR10;VAR12;VAR13;VAR14;VAR16;VAR17;VAR18;VAR19;VAR20;VAR21;VAR22;VAR23;VAR24;VAR25;VAR28;VAR29;VAR30;VAR31;VAR31B;VAR31C;VAR32A;VAR32B;VAR32C;VAR32D;VAR33;VAR34;VAR35;PROVA01;PROVA01_2CHAMADA;PRIMEIRA_PROVA;PROVA02;PROVA02_2CHAMADA;SEGUNDA_PROVA;MEDIA_PROVAS;FORUM01;FORUM02;FORUM03;FORUM04;MEDIA_FORUM;WEBQUEST01;WEBQUEST02;MEDIA_WEBQUEST;DESEMPENHO;DESEMPENHO_BINARIO;MEDIA_CALCULADA_PROVA;MEDIA_CALCULADA_FORUM;TEMPO_DE_CURSO
917;Biologia;2012.1;3;Embriologia;29;2011-12-31 21:00:00;2012-06-30 20:59:59;21;11;0;0;3;52;0;0;3;2;0;0;0;0;0;0,0;21;4;0;0;0;0;1,0;75,87;10;0,0;0,0;42;0;34;11;23;8;0;0;4;0;5,5;0,0;5,5;4,4;0,0;4,4;4,95;0;0;0;0;0,0;0;0;0,0;4,95;0;4,95;0,0;181 days 23:59:59.000000000
1421;Biologia;2012.1;3;Embriologia;29;2011-12-31 21:00:00;2012-06-30 20:59:59;25;10;0;0;2;52;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;2,0;0,0;26;0,0;0,0;76;0;38;6;20;50;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0;0;0,0;0;0;0,0;0,0;1;0,0;0,0;181 days 23:59:59.000000000
2128;Biologia;2012.1;3;Embriologia;29;2011-12-31 21:00:00;2012-06-30 20:59:59;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0,0;0,0;0;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0;0;0,0;0;0;0,0;0,0;1;0,0;0,0;181 days 23:59:59.000000000
3116;Biologia;2012.1;3;Embriologia;29;2011-12-31 21:00:00;2012-06-30 20:59:59;9;2;0;0;24;73;0;0;0;0;1;0;0;0;0;0,0;0;0;0;0;0;0;5,0;0,0;30;0,0;0,0;134;0;83;14;55;59;6;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0;0;0,0;0;0;0,0;0,0;1;0,0;0,0;181 days 23:59:59.000000000
5426;Biologia;2012.1;3;Embriologia;29;2011-12-31 21:00:00;2012-06-30 20:59:59;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0,0;0,0;0;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0;0;0,0;0;0;0,0;0,0;1;0,0;0,0;181 days 23:59:59.000000000
5805;Biologia;2012.1;3;Embriologia;29;2011-12-31 21:00:00;2012-06-30 20:59:59;10;56;0;0;5;62;0;0;1;6;0;0;9;1;2;0,0;49;8;1;0;0;0;7,0;59,61;180;0,0;0,0;188;0;98;41;54;91;2;0;8;0;0,0;3,3;3,3;4,4;0,0;4,4;3,85;0;0;0;0;0,0;0;0;0,0;3,85;1;3,85;0,0;181 days 23:59:59.000000000
8654;Biologia;2012.1;3;Embriologia;29;2011-12-31 21:00:00;2012-06-30 20:59:59;41;8;0;0;0;20;0;0;0;0;0;0;0;0;0;0,0;1;0;0;0;0;0;0,0;0,0;12;0,0;0,0;15;0;11;2;2;9;2;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0;0;0,0;0;0;0,0;0,0;1;0,0;0,0;181 days 23:59:59.000000000
10214;Biologia;2012.1;3;Embriologia;29;2011-12-31 21:00:00;2012-06-30 20:59:59;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0,0;0,0;0;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0;0;0,0;0;0;0,0;0,0;1;0,0;0,0;181 days 23:59:59.000000000
11731;Biologia;2012.1;3;Embriologia;29;2011-12-31 21:00:00;2012-06-30 20:59:59;36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0,0;0,0;0;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0;0;0,0;0;0;0,0;0,0;1;0,0;0,0;181 days 23:59:59.000000000
13540;Biologia;2012.1;3;Embriologia;29;2011-12-31 21:00:00;2012-06-30 20:59:59;39;7;0;0;7;54;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;2,0;0,0;35;0,0;0,0;56;0;37;8;29;18;1;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0;0;0,0;0;0;0,0;0,0;1;0,0;0,0;181 days 23:59:59.000000000
