;CURSO;SEMESTRE;PERIODO;NOME_DA_DISCIPLINA;ID_DA_DISCIPLINA;DATA_DE_INICIO;DATA_DE_FINAL;ID_DO_ALUNO;VAR01;VAR02;VAR03;VAR04;VAR05;VAR06;VAR07;VAR08;VAR09;VAR10;VAR12;VAR13;VAR14;VAR16;VAR17;VAR18;VAR19;VAR20;VAR21;VAR22;VAR23;VAR24;VAR25;VAR28;VAR29;VAR30;VAR31;VAR31B;VAR31C;VAR32A;VAR32B;VAR32C;VAR32D;VAR33;VAR34;VAR35;PROVA01;PROVA01_2CHAMADA;PRIMEIRA_PROVA;PROVA02;PROVA02_2CHAMADA;SEGUNDA_PROVA;MEDIA_PROVAS;FORUM01;FORUM02;FORUM03;FORUM04;MEDIA_FORUM;WEBQUEST01;WEBQUEST02;MEDIA_WEBQUEST;DESEMPENHO;DESEMPENHO_BINARIO;MEDIA_CALCULADA_PROVA;MEDIA_CALCULADA_FORUM;TEMPO_DE_CURSO
2990;Letras;2010.1;2;Fonética e Fonologia da Língua Portuguesa;29;2009-12-31 21:00:00;2010-06-29 21:00:00;234;6;0;0;3;126;0;0;0;0;0;0;0;0;0;0,0;1;0;0;0;0;0;0,0;0,0;19;0,0;0,0;21;0;17;6;8;6;1;0;0;0;1,0;0,0;1,0;0,0;0,0;0,0;0,5;0;0;0;0;0,0;0;0;0,0;0,5;1;0,5;0,0;180 days 00:00:00.000000000
4987;Letras;2010.1;2;Fonética e Fonologia da Língua Portuguesa;29;2009-12-31 21:00:00;2010-06-29 21:00:00;217;43;0;0;123;229;0;0;2;0;5;0;22;3;1;0,0;16;2;0;0;0;0;8,0;72,64;100;0,0;0,0;233;0;107;69;80;73;11;1;2;0;2,0;6,0;6,0;0,0;0,0;0,0;3,0;8;7;0;0;1,5;7;5;3,0;7,5;0;3,0;3,75;180 days 00:00:00.000000000
6263;Letras;2010.1;2;Fonética e Fonologia da Língua Portuguesa;29;2009-12-31 21:00:00;2010-06-29 21:00:00;200;13;0;0;17;155;0;0;0;0;2;0;0;0;0;0,0;1;0;0;0;0;0;0,0;0,0;13;0,0;0,0;17;0;10;4;5;5;3;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0;0;0,0;0;0;0,0;0,0;1;0,0;0,0;180 days 00:00:00.000000000
6382;Letras;2010.1;2;Fonética e Fonologia da Língua Portuguesa;29;2009-12-31 21:00:00;2010-06-29 21:00:00;184;22;0;0;3;145;0;0;0;0;0;0;0;0;0;0,0;1;0;0;0;0;0;2,0;0,0;59;0,0;0,0;71;0;45;17;32;17;5;0;0;0;7,0;5,0;7,0;0,0;4,0;4,0;5,5;0;0;0;0;0,0;0;0;0,0;5,5;0;5,5;0,0;180 days 00:00:00.000000000
6873;Letras;2010.1;2;Fonética e Fonologia da Língua Portuguesa;29;2009-12-31 21:00:00;2010-06-29 21:00:00;117;13;0;0;0;87;0;0;0;0;0;0;0;0;0;0,0;21;3;0;0;0;0;2,0;105,5;29;0,0;0,0;67;0;44;27;19;14;7;0;3;0;3,0;0,0;3,0;0,0;6,0;6,0;4,5;5;0;4;6;1,5;0;0;0,0;6,0;0;4,5;3,75;180 days 00:00:00.000000000
7034;Letras;2010.1;2;Fonética e Fonologia da Língua Portuguesa;29;2009-12-31 21:00:00;2010-06-29 21:00:00;88;8;0;0;0;12;0;0;0;0;0;0;0;0;0;0,0;1;0;0;0;0;0;0,0;0,0;14;0,0;0,0;17;0;14;5;10;2;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0;0;0,0;0;0;0,0;0,0;1;0,0;0,0;180 days 00:00:00.000000000
9675;Letras;2010.1;2;Fonética e Fonologia da Língua Portuguesa;29;2009-12-31 21:00:00;2010-06-29 21:00:00;97;5;0;0;3;84;0;0;0;0;0;0;16;2;0;2,0;4;1;0;0;0;0;0,0;87,07;7;2,0;2,0;21;0;18;2;9;6;4;1;1;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;5;0;0;0,5;6;0;1,5;2,0;1;0,0;1,25;180 days 00:00:00.000000000
11325;Letras;2010.1;2;Fonética e Fonologia da Língua Portuguesa;29;2009-12-31 21:00:00;2010-06-29 21:00:00;189;6;0;0;28;165;0;0;0;1;2;0;0;0;0;0,0;24;2;0;0;0;0;6,0;83,64;162;0,0;0,0;164;0;102;19;49;68;28;0;2;0;2,0;6,0;6,0;0,0;0,0;0,0;3,0;8;0;7;0;1,5;0;0;0,0;4,5;0;3,0;3,75;180 days 00:00:00.000000000
11370;Letras;2010.1;2;Fonética e Fonologia da Língua Portuguesa;29;2009-12-31 21:00:00;2010-06-29 21:00:00;215;37;0;0;22;175;0;0;1;2;4;0;19;3;1;0,0;9;3;0;0;0;0;4,0;81,87;102;0,0;0,0;107;0;63;36;20;50;1;1;3;0;6,0;0,0;6,0;0,0;0,0;0,0;3,0;7;6;0;7;2,0;7;5;3,0;8,0;0;3,0;5,0;180 days 00:00:00.000000000
11629;Letras;2010.1;2;Fonética e Fonologia da Língua Portuguesa;29;2009-12-31 21:00:00;2010-06-29 21:00:00;205;10;0;0;8;147;0;0;0;0;4;0;19;3;1;0,0;0;0;0;0;0;0;4,0;0,0;95;0,0;0,0;108;0;32;8;23;77;0;0;0;0;3,0;0,0;3,0;0,0;0,0;0,0;1,5;0;0;0;0;0,0;0;7;1,75;3,25;1;1,5;0,0;180 days 00:00:00.000000000
