;CURSO;SEMESTRE;PERIODO;NOME_DA_DISCIPLINA;ID_DA_DISCIPLINA;DATA_DE_INICIO;DATA_DE_FINAL;ID_DO_ALUNO;VAR01;VAR02;VAR03;VAR04;VAR05;VAR06;VAR07;VAR08;VAR09;VAR10;VAR12;VAR13;VAR14;VAR16;VAR17;VAR18;VAR19;VAR20;VAR21;VAR22;VAR23;VAR24;VAR25;VAR28;VAR29;VAR30;VAR31;VAR31B;VAR31C;VAR32A;VAR32B;VAR32C;VAR32D;VAR33;VAR34;VAR35;PROVA01;PROVA01_2CHAMADA;PRIMEIRA_PROVA;PROVA02;PROVA02_2CHAMADA;SEGUNDA_PROVA;MEDIA_PROVAS;FORUM01;FORUM02;FORUM03;FORUM04;MEDIA_FORUM;WEBQUEST01;WEBQUEST02;MEDIA_WEBQUEST;DESEMPENHO;DESEMPENHO_BINARIO;MEDIA_CALCULADA_PROVA;MEDIA_CALCULADA_FORUM;TEMPO_DE_CURSO
192;Letras;2011.1;4;Didática;49;2010-12-31 21:00:00;2011-06-29 21:00:00;114;7;2;0;175;324;0;0;0;3;4;0;20;3;0;1,0;23;3;0;0;0;0;5,0;85,09;118;1,0;1,0;133;0;61;34;23;76;0;2;3;0;0,0;0,55;0,55;5,0;0,0;5,0;2,775;4;4;0;5;1,3;5;5;2,5;6,575;0;2,775;3,25;180 days 00:00:00.000000000
1257;Letras;2011.1;4;Didática;49;2010-12-31 21:00:00;2011-06-29 21:00:00;192;11;0;0;194;347;0;0;0;5;8;0;13;2;0;6,5;125;8;0;0;0;0;13,0;91,81;341;6,5;6,5;351;0;165;70;185;96;0;2;8;0;5,5;0,0;5,5;5,5;0,0;5,5;5,5;5;5;5;5;2,0;6;3;2,25;9,75;0;5,5;5,0;180 days 00:00:00.000000000
1754;Letras;2011.1;4;Didática;49;2010-12-31 21:00:00;2011-06-29 21:00:00;191;35;0;0;1;186;0;0;0;2;0;0;12;2;0;1,5;17;2;0;0;0;0;3,0;82,5;29;1,5;1,5;83;0;63;61;15;7;0;2;2;0;0,55;0,0;0,55;2,5;0,0;2,5;1,525;4;0;5;0;0,9;5;3;2,0;4,425;0;1,525;2,25;180 days 00:00:00.000000000
1796;Letras;2011.1;4;Didática;49;2010-12-31 21:00:00;2011-06-29 21:00:00;213;9;0;0;0;52;0;0;1;3;0;0;20;3;0;0,0;9;3;0;0;0;0;1,0;99,89;11;0,0;0,0;33;0;19;15;10;8;0;1;3;0;1,65;0,0;1,65;1,5;0,0;1,5;1,575;4;5;0;4;1,3;0;1;0,25;3,125;1;1,575;3,25;180 days 00:00:00.000000000
2276;Letras;2011.1;4;Didática;49;2010-12-31 21:00:00;2011-06-29 21:00:00;250;61;0;0;108;217;0;0;3;5;7;0;1;2;0;3,5;54;7;1;0;0;0;5,0;97,52;45;3,5;3,5;144;0;96;83;43;16;2;2;7;0;4,4;0,0;4,4;4,5;0,0;4,5;4,45;4;5;5;4;1,8;5;5;2,5;8,75;0;4,45;4,5;180 days 00:00:00.000000000
2412;Letras;2011.1;4;Didática;49;2010-12-31 21:00:00;2011-06-29 21:00:00;141;6;0;0;11;208;0;0;0;4;1;0;7;1;0;0,0;33;4;0;0;0;0;4,0;96,72;37;0,0;0,0;111;0;56;12;57;42;0;2;4;0;4,4;0,0;4,4;4,5;0,0;4,5;4,45;5;5;4;5;1,9;5;5;2,5;8,85;0;4,45;4,75;180 days 00:00:00.000000000
2828;Letras;2011.1;4;Didática;49;2010-12-31 21:00:00;2011-06-29 21:00:00;59;4;0;0;49;216;0;0;0;4;3;0;0;1;0;5,0;51;4;0;0;0;0;9,0;91,92;52;5,0;5,0;255;0;111;95;81;76;3;2;4;0;1,65;0,0;1,65;4,0;0,0;4,0;2,825;5;4;5;4;1,8;5;5;2,5;7,125;0;2,825;4,5;180 days 00:00:00.000000000
3091;Letras;2011.1;4;Didática;49;2010-12-31 21:00:00;2011-06-29 21:00:00;139;3;0;0;9;197;0;0;0;5;0;0;16;2;0;0,0;42;8;0;0;0;0;4,0;97,59;99;0,0;0,0;112;0;63;22;61;29;0;2;8;0;4,95;0,0;4,95;4,0;0,0;4,0;4,475;5;5;5;5;2,0;5;5;2,5;8,975;0;4,475;5,0;180 days 00:00:00.000000000
3399;Letras;2011.1;4;Didática;49;2010-12-31 21:00:00;2011-06-29 21:00:00;170;2;0;0;0;189;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0,0;0,0;0;0,0;0,0;8;0;8;0;0;8;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0;0;0,0;0;0;0,0;0,0;1;0,0;0,0;180 days 00:00:00.000000000
3583;Letras;2011.1;4;Didática;49;2010-12-31 21:00:00;2011-06-29 21:00:00;212;90;2;0;7;185;0;0;0;4;2;0;21;3;0;0,0;51;4;0;0;0;0;7,0;105,01;92;0,0;0,0;189;0;107;44;41;90;14;1;4;0;0,0;0,55;0,55;0,0;0,0;0,0;0,275;5;0;4;5;1,4;5;0;1,25;2,925;1;0,275;3,5;180 days 00:00:00.000000000
