;CURSO;SEMESTRE;PERIODO;NOME_DA_DISCIPLINA;ID_DA_DISCIPLINA;DATA_DE_INICIO;DATA_DE_FINAL;ID_DO_ALUNO;VAR01;VAR02;VAR03;VAR04;VAR05;VAR06;VAR07;VAR08;VAR09;VAR10;VAR12;VAR13;VAR14;VAR16;VAR17;VAR18;VAR19;VAR20;VAR21;VAR22;VAR23;VAR24;VAR25;VAR28;VAR29;VAR30;VAR31;VAR31B;VAR31C;VAR32A;VAR32B;VAR32C;VAR32D;VAR33;VAR34;VAR35;PROVA01;PROVA01_2CHAMADA;PRIMEIRA_PROVA;PROVA02;PROVA02_2CHAMADA;SEGUNDA_PROVA;MEDIA_PROVAS;FORUM01;FORUM02;FORUM03;FORUM04;MEDIA_FORUM;WEBQUEST01;WEBQUEST02;MEDIA_WEBQUEST;DESEMPENHO;DESEMPENHO_BINARIO;MEDIA_CALCULADA_PROVA;MEDIA_CALCULADA_FORUM;TEMPO_DE_CURSO
60;Administracao;2011.2;4;Direito Administrativo;40;2011-06-30 21:00:00;2011-12-29 21:00:00;829;17;0;3;26;95;0;0;0;1;4;0;7;1;2;0,0;18;5;0;0;0;0;4,0;88,98;68;0,0;0,0;113;0;85;43;30;38;2;0;5;0;6,36;0,0;6,36;4,0;0,0;4,0;2,8489999999999998;5;5;7;4;1,05;10;10;2,5;6,399;0;5,18;5,25;182 days 00:00:00.000000000
547;Administracao;2011.2;4;Direito Administrativo;40;2011-06-30 21:00:00;2011-12-29 21:00:00;780;36;0;4;7;47;0;0;0;0;1;0;20;3;2;0,0;18;2;0;0;0;0;1,0;58,74;33;0,0;0,0;48;0;39;6;0;21;21;0;2;0;3,64;0,0;3,64;1,0;0,0;1,0;1,276;0;8;0;0;0,4;10;10;2,5;4,176;0;2,3200000000000003;2,0;182 days 00:00:00.000000000
808;Administracao;2011.2;4;Direito Administrativo;40;2011-06-30 21:00:00;2011-12-29 21:00:00;852;10;0;0;0;68;0;0;0;0;0;0;22;3;2;0,0;13;1;0;0;0;0;2,0;129,23;27;0,0;0,0;53;0;36;14;9;30;0;0;1;0;1,82;0,0;1,82;4,0;0,0;4,0;1,6005;0;0;0;8;0,4;8;9;2,125;4,1255;0;2,91;2,0;182 days 00:00:00.000000000
1532;Administracao;2011.2;4;Direito Administrativo;40;2011-06-30 21:00:00;2011-12-29 21:00:00;790;2;0;3;5;73;0;0;0;2;2;0;19;3;1;0,0;23;2;0;0;0;0;1,0;23,22;4;0,0;0,0;44;0;37;3;13;25;3;0;2;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;7;0;0;0;0,35;10;0;1,25;1,6;1;0,0;1,75;182 days 00:00:00.000000000
2324;Administracao;2011.2;4;Direito Administrativo;40;2011-06-30 21:00:00;2011-12-29 21:00:00;838;109;0;3;10;76;1;1;0;1;3;0;22;3;2;0,0;49;3;0;0;0;0;11,0;77,49;26;0,0;0,0;290;0;156;107;98;83;2;0;3;0;6,36;0,0;6,36;4,0;0,0;4,0;2,8489999999999998;4;0;7;0;0,55;8;9;2,125;5,524;0;5,18;2,75;182 days 00:00:00.000000000
2505;Administracao;2011.2;4;Direito Administrativo;40;2011-06-30 21:00:00;2011-12-29 21:00:00;851;19;0;0;0;67;0;0;0;0;0;0;18;3;2;0,0;24;3;0;0;0;0;2,0;85,18;19;0,0;0,0;71;0;38;15;20;35;1;0;3;0;2,73;0,0;2,73;2,0;9,0;9,0;3,22575;6;8;0;6;1,0;7;7;1,75;5,97575;0;5,865;5,0;182 days 00:00:00.000000000
4651;Administracao;2011.2;4;Direito Administrativo;40;2011-06-30 21:00:00;2011-12-29 21:00:00;762;10;0;1;1;55;0;0;0;0;0;0;0;0;0;0,0;7;1;0;0;0;0;0,0;136,13;0;0,0;0,0;18;0;18;5;7;6;0;0;1;0;0,0;2,0;2,0;4,0;0,0;4,0;1,65;0;0;0;4;0,2;0;0;0,0;1,85;1;3,0;1,0;182 days 00:00:00.000000000
4892;Administracao;2011.2;4;Direito Administrativo;40;2011-06-30 21:00:00;2011-12-29 21:00:00;847;4;0;0;2;70;0;0;0;0;1;0;18;3;1;0,0;12;1;0;0;0;0;2,0;73,89;45;0,0;0,0;59;0;43;11;12;36;0;0;1;0;2,73;3,0;3,0;0,0;0,0;0,0;0,825;0;9;0;0;0,45;7;0;0,875;2,15;1;1,5;2,25;182 days 00:00:00.000000000
4963;Administracao;2011.2;4;Direito Administrativo;40;2011-06-30 21:00:00;2011-12-29 21:00:00;849;6;0;1;3;67;0;0;3;1;1;0;18;3;2;0,0;49;7;2;0;0;0;3,0;82,22;57;0,0;0,0;97;0;60;16;35;43;3;0;7;0;3,64;0,0;3,64;2,0;0,0;2,0;1,551;8;7;8;5;1,4;7;7;1,75;4,7010000000000005;0;2,8200000000000003;7,0;182 days 00:00:00.000000000
5735;Administracao;2011.2;4;Direito Administrativo;40;2011-06-30 21:00:00;2011-12-29 21:00:00;834;98;0;7;54;87;0;0;0;0;21;0;21;3;2;0,0;55;4;0;0;0;0;10,0;89,21;123;0,0;0,0;282;0;123;137;88;57;0;0;4;0;7,27;0,0;7,27;2,0;0,0;2,0;2,54925;5;7;6;7;1,25;8;9;2,125;5,92425;0;4,635;6,25;182 days 00:00:00.000000000
6526;Administracao;2011.2;4;Direito Administrativo;40;2011-06-30 21:00:00;2011-12-29 21:00:00;758;11;0;1;3;55;1;1;0;0;0;0;7;1;2;0,0;31;4;0;0;0;0;4,0;82,22;113;0,0;0,0;127;0;66;62;46;17;2;0;4;0;0,0;6,0;6,0;4,0;0,0;4,0;2,75;5;5;0;5;0,75;10;10;2,5;6,0;0;5,0;3,75;182 days 00:00:00.000000000
6777;Administracao;2011.2;4;Direito Administrativo;40;2011-06-30 21:00:00;2011-12-29 21:00:00;818;14;0;2;7;90;0;0;0;0;2;0;10;1;1;0,0;8;1;0;0;0;0;1,0;73,1;6;0,0;0,0;30;0;21;13;7;10;0;0;1;0;7,27;0,0;7,27;6,0;0,0;6,0;3,64925;0;8;0;0;0,4;10;0;1,25;5,29925;0;6,635;2,0;182 days 00:00:00.000000000
6893;Administracao;2011.2;4;Direito Administrativo;40;2011-06-30 21:00:00;2011-12-29 21:00:00;778;54;0;9;44;75;0;0;0;1;0;0;16;2;2;0,0;54;5;0;0;0;0;7,0;89,77;176;0,0;0,0;197;0;123;37;89;71;0;0;5;0;5,45;0,0;5,45;4,0;0,0;4,0;2,59875;6;10;9;10;1,75;10;10;2,5;6,84875;0;4,725;8,75;182 days 00:00:00.000000000
7161;Administracao;2011.2;4;Direito Administrativo;40;2011-06-30 21:00:00;2011-12-29 21:00:00;836;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0,0;0,0;0;0,0;0,0;2;0;2;0;0;2;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0;0;0,0;0;0;0,0;0,0;1;0,0;0,0;182 days 00:00:00.000000000
