;CURSO;SEMESTRE;PERIODO;NOME_DA_DISCIPLINA;ID_DA_DISCIPLINA;DATA_DE_INICIO;DATA_DE_FINAL;ID_DO_ALUNO;VAR01;VAR02;VAR03;VAR04;VAR05;VAR06;VAR07;VAR08;VAR09;VAR10;VAR12;VAR13;VAR14;VAR16;VAR17;VAR18;VAR19;VAR20;VAR21;VAR22;VAR23;VAR24;VAR25;VAR28;VAR29;VAR30;VAR31;VAR31B;VAR31C;VAR32A;VAR32B;VAR32C;VAR32D;VAR33;VAR34;VAR35;PROVA01;PROVA01_2CHAMADA;PRIMEIRA_PROVA;PROVA02;PROVA02_2CHAMADA;SEGUNDA_PROVA;MEDIA_PROVAS;FORUM01;FORUM02;FORUM03;FORUM04;MEDIA_FORUM;WEBQUEST01;WEBQUEST02;MEDIA_WEBQUEST;DESEMPENHO;DESEMPENHO_BINARIO;MEDIA_CALCULADA_PROVA;MEDIA_CALCULADA_FORUM;TEMPO_DE_CURSO
404;Pedagogia;2011.2;3;Didática;46;2011-06-30 21:00:00;2011-12-31 20:59:59;164;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0,0;0,0;0;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0;0;0,0;0;0;0,0;0,0;1;0,0;0,0;183 days 23:59:59.000000000
562;Pedagogia;2011.2;3;Didática;46;2011-06-30 21:00:00;2011-12-31 20:59:59;181;11;0;4;7;32;0;0;2;2;2;0;9;1;1;8,0;42;6;2;0;0;0;4,0;75,27;21;8,0;8,0;115;0;69;31;39;43;2;1;6;0;2,75;0,0;2,75;3,3;0,0;3,3;1,66;5;4;5;4;0,9;3;5;1,0;3,56;1;3,025;4,5;183 days 23:59:59.000000000
801;Pedagogia;2011.2;3;Didática;46;2011-06-30 21:00:00;2011-12-31 20:59:59;213;16;0;1;1;26;0;0;3;4;0;0;11;1;1;0,0;54;6;0;0;0;0;2,0;75,93;10;0,0;0,0;58;0;37;17;21;18;2;1;6;0;2,75;0,0;2,75;2,75;0,0;2,75;1,51;3;4;2;5;0,7;5;2;0,875;3,09;1;2,75;3,5;183 days 23:59:59.000000000
885;Pedagogia;2011.2;3;Didática;46;2011-06-30 21:00:00;2011-12-31 20:59:59;204;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0,0;0,0;0;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0;0;0,0;0;0;0,0;0,0;1;0,0;0,0;183 days 23:59:59.000000000
895;Pedagogia;2011.2;3;Didática;46;2011-06-30 21:00:00;2011-12-31 20:59:59;104;26;0;0;4;25;0;0;0;1;0;0;0;3;1;7,0;41;6;0;0;0;0;2,0;77,97;29;7,0;7,0;68;0;37;13;32;20;3;1;6;0;3,3;0,0;3,3;3,3;6,0;6,0;2,56;4;3;5;4;0,8;4;3;0,875;4,23;0;4,65;4,0;183 days 23:59:59.000000000
1463;Pedagogia;2011.2;3;Didática;46;2011-06-30 21:00:00;2011-12-31 20:59:59;170;6;0;1;3;30;0;0;0;0;1;0;13;2;1;1,0;27;4;0;0;0;0;4,0;86,03;6;1,0;1,0;111;0;59;17;51;43;0;1;4;0;3,3;0,0;3,3;4,4;0,0;4,4;2,12;4;5;4;5;0,9;6;6;1,5;4,52;0;3,85;4,5;183 days 23:59:59.000000000
1707;Pedagogia;2011.2;3;Didática;46;2011-06-30 21:00:00;2011-12-31 20:59:59;177;4;0;0;0;0;0;0;0;1;0;0;21;3;0;0,0;6;2;0;0;0;0;0,0;98,74;5;0,0;0,0;22;0;15;6;4;12;0;1;2;0;3,3;0,0;3,3;0,0;5,0;5,0;2,28;0;2;0;4;0,3;0;6;0,75;3,33;1;4,15;1,5;183 days 23:59:59.000000000
1721;Pedagogia;2011.2;3;Didática;46;2011-06-30 21:00:00;2011-12-31 20:59:59;85;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;4;1;0;0;0;0;0,0;43,38;1;0,0;0,0;3;0;2;0;0;3;0;0;1;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;4;0;0;0;0,2;0;0;0,0;0,2;1;0,0;1,0;183 days 23:59:59.000000000
1809;Pedagogia;2011.2;3;Didática;46;2011-06-30 21:00:00;2011-12-31 20:59:59;88;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0,0;0,0;0;0,0;0,0;1;0;1;0;0;1;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0;0;0,0;0;0;0,0;0,0;1;0,0;0,0;183 days 23:59:59.000000000
2282;Pedagogia;2011.2;3;Didática;46;2011-06-30 21:00:00;2011-12-31 20:59:59;61;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0,0;0,0;0;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0;0;0,0;0;0;0,0;0,0;1;0,0;0,0;183 days 23:59:59.000000000
