;CURSO;SEMESTRE;PERIODO;NOME_DA_DISCIPLINA;ID_DA_DISCIPLINA;DATA_DE_INICIO;DATA_DE_FINAL;ID_DO_ALUNO;VAR01;VAR02;VAR03;VAR04;VAR05;VAR06;VAR07;VAR08;VAR09;VAR10;VAR12;VAR13;VAR14;VAR16;VAR17;VAR18;VAR19;VAR20;VAR21;VAR22;VAR23;VAR24;VAR25;VAR28;VAR29;VAR30;VAR31;VAR31B;VAR31C;VAR32A;VAR32B;VAR32C;VAR32D;VAR33;VAR34;VAR35;PROVA01;PROVA01_2CHAMADA;PRIMEIRA_PROVA;PROVA02;PROVA02_2CHAMADA;SEGUNDA_PROVA;MEDIA_PROVAS;FORUM01;FORUM02;FORUM03;FORUM04;MEDIA_FORUM;WEBQUEST01;WEBQUEST02;MEDIA_WEBQUEST;DESEMPENHO;DESEMPENHO_BINARIO;MEDIA_CALCULADA_PROVA;MEDIA_CALCULADA_FORUM;TEMPO_DE_CURSO
92;Letras;2009.2;1;Fundamentos Socio-Filosóficos da Educação;14;2009-12-29 21:00:00;2009-06-30 21:00:00;215;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0,0;0,0;0;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;6;0;7;6;1,9;0;5;1,25;3,15;1;0,0;4,75;-182 days +00:00:00.000000000
155;Letras;2009.2;1;Fundamentos Socio-Filosóficos da Educação;14;2009-12-29 21:00:00;2009-06-30 21:00:00;203;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0,0;0,0;0;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;6;0;0;0;0,6;0;0;0,0;0,6;1;0,0;1,5;-182 days +00:00:00.000000000
2137;Letras;2009.2;1;Fundamentos Socio-Filosóficos da Educação;14;2009-12-29 21:00:00;2009-06-30 21:00:00;226;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0,0;0,0;0;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0;0;0,0;0;0;0,0;0,0;1;0,0;0,0;-182 days +00:00:00.000000000
2154;Letras;2009.2;1;Fundamentos Socio-Filosóficos da Educação;14;2009-12-29 21:00:00;2009-06-30 21:00:00;244;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0,0;0,0;0;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;7;0;0;0;0,7;0;0;0,0;0,7;1;0,0;1,75;-182 days +00:00:00.000000000
3383;Letras;2009.2;1;Fundamentos Socio-Filosóficos da Educação;14;2009-12-29 21:00:00;2009-06-30 21:00:00;122;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0,0;0,0;0;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;7;0;6;7;2,0;0;0;0,0;2,0;1;0,0;5,0;-182 days +00:00:00.000000000
4459;Letras;2009.2;1;Fundamentos Socio-Filosóficos da Educação;14;2009-12-29 21:00:00;2009-06-30 21:00:00;96;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0,0;0,0;0;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0;0;0,0;0;0;0,0;0,0;1;0,0;0,0;-182 days +00:00:00.000000000
4580;Letras;2009.2;1;Fundamentos Socio-Filosóficos da Educação;14;2009-12-29 21:00:00;2009-06-30 21:00:00;173;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0,0;0,0;0;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;7;0;7;0;1,4;0;3;0,75;2,15;1;0,0;3,5;-182 days +00:00:00.000000000
4800;Letras;2009.2;1;Fundamentos Socio-Filosóficos da Educação;14;2009-12-29 21:00:00;2009-06-30 21:00:00;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0,0;0,0;0;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;7;0;0;0,7;7;0;1,75;2,45;1;0,0;1,75;-182 days +00:00:00.000000000
6219;Letras;2009.2;1;Fundamentos Socio-Filosóficos da Educação;14;2009-12-29 21:00:00;2009-06-30 21:00:00;223;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0,0;0,0;0;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0;0;0,0;0;0;0,0;0,0;1;0,0;0,0;-182 days +00:00:00.000000000
6589;Letras;2009.2;1;Fundamentos Socio-Filosóficos da Educação;14;2009-12-29 21:00:00;2009-06-30 21:00:00;34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0,0;0,0;0;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;6;0;0;0;0,6;0;0;0,0;0,6;1;0,0;1,5;-182 days +00:00:00.000000000
